code,label_ar,definition_ar,note,concept,all_alternative_ar
c_02e1a336,أمفيبوليت,,,http://aims.fao.org/aos/agrovoc/c_02e1a336,
c_02e6f477,thiocarbamate herbicides,,,http://aims.fao.org/aos/agrovoc/c_02e6f477,
c_02edd8de,phasmid vectors,,,http://aims.fao.org/aos/agrovoc/c_02edd8de,
c_03079252,السبائك الحديدية,,,http://aims.fao.org/aos/agrovoc/c_03079252,
c_031fbb5e,طافية,,,http://aims.fao.org/aos/agrovoc/c_031fbb5e,
c_03251a3d,Achillea biebersteinii,,,http://aims.fao.org/aos/agrovoc/c_03251a3d,
c_0335255f,Trissolcus semistriatus,,,http://aims.fao.org/aos/agrovoc/c_0335255f,
c_034813f6,Alicyclobacillaceae,,,http://aims.fao.org/aos/agrovoc/c_034813f6,
c_034c0989,مصعد التضحية,,,http://aims.fao.org/aos/agrovoc/c_034c0989,
c_03618785,البيئة السياسية,,,http://aims.fao.org/aos/agrovoc/c_03618785,
c_0367abe5,Echinophora,,,http://aims.fao.org/aos/agrovoc/c_0367abe5,
c_03710075,النظام الإيكولوجي القاعي,,,http://aims.fao.org/aos/agrovoc/c_03710075,
c_0371de18,Sideritis caesarea,,,http://aims.fao.org/aos/agrovoc/c_0371de18,
c_037ed8a4,دُخن ياباني,,,http://aims.fao.org/aos/agrovoc/c_037ed8a4,دخن قمحي|دُخن عنقودي
c_0387fbf5,Viola kitaibeliana,,,http://aims.fao.org/aos/agrovoc/c_0387fbf5,
c_038bfcfa,تكَّسية,,,http://aims.fao.org/aos/agrovoc/c_038bfcfa,
c_03961d6f,دقيق الشعير,,,http://aims.fao.org/aos/agrovoc/c_03961d6f,
c_03a8e02d,Calligonum,,,http://aims.fao.org/aos/agrovoc/c_03a8e02d,
c_03ae1678,المساواة بين الجنسين,,,http://aims.fao.org/aos/agrovoc/c_03ae1678,المساواة بين الجنسين؛ الإنصاف بين الجنسين
c_03b5aa2b,Ablattaria,,,http://aims.fao.org/aos/agrovoc/c_03b5aa2b,
c_03b7c737,Ludwigia grandiflora,,,http://aims.fao.org/aos/agrovoc/c_03b7c737,
c_03bcc74e,bispyribac-sodium,,,http://aims.fao.org/aos/agrovoc/c_03bcc74e,
c_03d36284,الجسيمات المحللة,,,http://aims.fao.org/aos/agrovoc/c_03d36284,
c_03d7ad75,Salvia hydrangea,,,http://aims.fao.org/aos/agrovoc/c_03d7ad75,
c_03db719d,تغدية الحيوانات الزراعية,,,http://aims.fao.org/aos/agrovoc/c_03db719d,
c_03eafe35,الأُرْز الأسْمَر,,,http://aims.fao.org/aos/agrovoc/c_03eafe35,
c_0422bed9,Alternaria infectoria,,,http://aims.fao.org/aos/agrovoc/c_0422bed9,
c_043241bf,Hordeum cordobense,,,http://aims.fao.org/aos/agrovoc/c_043241bf,
c_04382853,Anisoplia,,,http://aims.fao.org/aos/agrovoc/c_04382853,
c_0450404d,Allium sintenisii,,,http://aims.fao.org/aos/agrovoc/c_0450404d,
c_0467f906,Cicer heterophyllum,,,http://aims.fao.org/aos/agrovoc/c_0467f906,
c_04742f75,بدانة,,,http://aims.fao.org/aos/agrovoc/c_04742f75,
c_04878d84,الملاحة اللاسلكية,,,http://aims.fao.org/aos/agrovoc/c_04878d84,
c_04a08110,آليات لاستبعاد السّلاحف,,,http://aims.fao.org/aos/agrovoc/c_04a08110,
c_04b9083b,التلوث الميكروبيولوجى المتبادل,,,http://aims.fao.org/aos/agrovoc/c_04b9083b,
c_04c4635e,Tungrovirus,,,http://aims.fao.org/aos/agrovoc/c_04c4635e,
c_04c53419,علاقات بين الجنسين,,,http://aims.fao.org/aos/agrovoc/c_04c53419,
c_04cd70f3,Erysiphe flexuosa,,,http://aims.fao.org/aos/agrovoc/c_04cd70f3,
c_04e08adc,فاصولياء ،جافة,,,http://aims.fao.org/aos/agrovoc/c_04e08adc,
c_04e576bf,يوم حقلي,,,http://aims.fao.org/aos/agrovoc/c_04e576bf,
c_04ed021e,pyrimidinyl sulfonylurea herbicides,,,http://aims.fao.org/aos/agrovoc/c_04ed021e,
c_04fbfdc4,عوامات الإرساء,,,http://aims.fao.org/aos/agrovoc/c_04fbfdc4,
c_04ff864e,Anchusa azurea var. kurdica,,,http://aims.fao.org/aos/agrovoc/c_04ff864e,
c_050477cd,Lathyrus spathulatus,,,http://aims.fao.org/aos/agrovoc/c_050477cd,
c_050da850,Schistonchus,,,http://aims.fao.org/aos/agrovoc/c_050da850,
c_05110aa4,مبيد أسماك,,,http://aims.fao.org/aos/agrovoc/c_05110aa4,
c_0516b079,Cripavirus,,,http://aims.fao.org/aos/agrovoc/c_0516b079,
c_05171127,Alcea rosea,,,http://aims.fao.org/aos/agrovoc/c_05171127,
c_05188cd8,Lactarius deterrimus,,,http://aims.fao.org/aos/agrovoc/c_05188cd8,
c_051a24bc,تغذية الجاموس,,,http://aims.fao.org/aos/agrovoc/c_051a24bc,
c_053648ca,مبيدات الفطريات الزئبقية العضوية,,,http://aims.fao.org/aos/agrovoc/c_053648ca,
c_0543301f,تجزئة الأراضي,,,http://aims.fao.org/aos/agrovoc/c_0543301f,
c_0559f8c7,تصميم الملابس,,,http://aims.fao.org/aos/agrovoc/c_0559f8c7,
c_059a6d82,Allium aschersonianum,,,http://aims.fao.org/aos/agrovoc/c_059a6d82,
c_05aa079d,Xanthomonas axonopodis pv. malvacearum,,,http://aims.fao.org/aos/agrovoc/c_05aa079d,
c_05bf39fc,Malva nicaeensis,,,http://aims.fao.org/aos/agrovoc/c_05bf39fc,
c_05c0398e,Rhaponticum,,,http://aims.fao.org/aos/agrovoc/c_05c0398e,
c_05c08c04,Lonicera periclymenum,,,http://aims.fao.org/aos/agrovoc/c_05c08c04,
c_05ccd828,Prosopis farcta,,,http://aims.fao.org/aos/agrovoc/c_05ccd828,
c_05ceb781,مراجعات الادبيات,,,http://aims.fao.org/aos/agrovoc/c_05ceb781,
c_05d75704,Geranium sanguineum,,,http://aims.fao.org/aos/agrovoc/c_05d75704,
c_05d996fd,Lyonetia clerkella,,,http://aims.fao.org/aos/agrovoc/c_05d996fd,
c_05dad401,Salvia haussknechtii,,,http://aims.fao.org/aos/agrovoc/c_05dad401,
c_05dc6685,الفهارس,,,http://aims.fao.org/aos/agrovoc/c_05dc6685,
c_05dfe4e2,جدري القردة,جدري القردة (إمبوكس) هو مرض فيروسي يسببه فيروس جدري القردة، وهو نوع من جِنْس الفَيْرُوسة الجُدَرِيَّة. يمكن أن ينتقل جدري القردة إلى البشر من خلال المخالطة الجسدية لشخص معدي أو الملامسة البدنية لمواد ملوثة أو حيوانات مصابة.,,http://aims.fao.org/aos/agrovoc/c_05dfe4e2,
c_05f11628,Lactobacillus kimchii,,,http://aims.fao.org/aos/agrovoc/c_05f11628,
c_05f1777f,plant available nitrogen,,,http://aims.fao.org/aos/agrovoc/c_05f1777f,
c_0602f28e,الخدمات المناخية,,,http://aims.fao.org/aos/agrovoc/c_0602f28e,
c_06049ef3,خطة إصدار الشهادات,,,http://aims.fao.org/aos/agrovoc/c_06049ef3,
c_0619dd9e,مشط ذو ِسْلسِلة معدنية,,,http://aims.fao.org/aos/agrovoc/c_0619dd9e,
c_061b5541,فيليجر,,,http://aims.fao.org/aos/agrovoc/c_061b5541,
c_061ccfc0,Allium nigrum,,,http://aims.fao.org/aos/agrovoc/c_061ccfc0,
c_06277c77,Euryale,,,http://aims.fao.org/aos/agrovoc/c_06277c77,
c_062ceb63,Alnus glutinosa subsp. barbata,,,http://aims.fao.org/aos/agrovoc/c_062ceb63,
c_063a6edd,Baylisascaris columnaris,,,http://aims.fao.org/aos/agrovoc/c_063a6edd,
c_063c779b,Cyperus fuscus,,,http://aims.fao.org/aos/agrovoc/c_063c779b,
c_063fb635,طراز أحادى,,,http://aims.fao.org/aos/agrovoc/c_063fb635,
c_0640b006,تَمَاسُك التُّربَة,,,http://aims.fao.org/aos/agrovoc/c_0640b006,
c_064c1d92,Crocus flavus subsp. dissectus,,,http://aims.fao.org/aos/agrovoc/c_064c1d92,
c_06503137,Salvia adenophylla,,,http://aims.fao.org/aos/agrovoc/c_06503137,
c_0653c563,حقل تصريف مياه المجاري,,,http://aims.fao.org/aos/agrovoc/c_0653c563,
c_065f7b6b,bromoxynil octanoate,,,http://aims.fao.org/aos/agrovoc/c_065f7b6b,
c_066306e7,Colchicum decaisnei,,,http://aims.fao.org/aos/agrovoc/c_066306e7,
c_06630b85,عنق الثيل المكتنز,,,http://aims.fao.org/aos/agrovoc/c_06630b85,
c_06781094,livestock flood refuge mounds,,,http://aims.fao.org/aos/agrovoc/c_06781094,
c_0686781d,التآكل,,,http://aims.fao.org/aos/agrovoc/c_0686781d,
c_06894f5a,Neoerysiphe,,,http://aims.fao.org/aos/agrovoc/c_06894f5a,
c_069242cc,Urochloa ramosa,,,http://aims.fao.org/aos/agrovoc/c_069242cc,
c_0696f69c,زيت التونة,,,http://aims.fao.org/aos/agrovoc/c_0696f69c,
c_069b2f28,السلع الأساسية السائبة,,,http://aims.fao.org/aos/agrovoc/c_069b2f28,
c_06a2c98f,Coccinella undecimpunctata,,,http://aims.fao.org/aos/agrovoc/c_06a2c98f,
c_06b46402,Nigella damascena,,,http://aims.fao.org/aos/agrovoc/c_06b46402,
c_06b489b0,نظائر الأكسجين,,,http://aims.fao.org/aos/agrovoc/c_06b489b0,
c_06c98243,Alternaria burnsii,,,http://aims.fao.org/aos/agrovoc/c_06c98243,
c_06d7dd5c,Ferulago trachycarpa,,,http://aims.fao.org/aos/agrovoc/c_06d7dd5c,
c_06d978c8,المنتجات الصناعية,,,http://aims.fao.org/aos/agrovoc/c_06d978c8,
c_06df2240,التحوّل الزراعي,,,http://aims.fao.org/aos/agrovoc/c_06df2240,
c_06e56949,الهامش القاري,,,http://aims.fao.org/aos/agrovoc/c_06e56949,
c_06ebfdec,بولينيزيا,,,http://aims.fao.org/aos/agrovoc/c_06ebfdec,
c_0708e29f,عسل بشهده,,,http://aims.fao.org/aos/agrovoc/c_0708e29f,
c_07250ae8,Lonicera xylosteum,,,http://aims.fao.org/aos/agrovoc/c_07250ae8,
c_0725371c,الهدف 15 الحياة في البر,,,http://aims.fao.org/aos/agrovoc/c_0725371c,
c_072568df,Buddleja davidii,,,http://aims.fao.org/aos/agrovoc/c_072568df,
c_07391c88,Tadorna,,,http://aims.fao.org/aos/agrovoc/c_07391c88,
c_0747b784,Lamium multifidum,,,http://aims.fao.org/aos/agrovoc/c_0747b784,
c_074d14f0,Physalis pubescens,,,http://aims.fao.org/aos/agrovoc/c_074d14f0,
c_074d268e,Lathyrus inconspicuus,,,http://aims.fao.org/aos/agrovoc/c_074d268e,
c_0775cd4b,النشا المقاوم,,,http://aims.fao.org/aos/agrovoc/c_0775cd4b,
c_07767e57,Onopordum acanthium,,,http://aims.fao.org/aos/agrovoc/c_07767e57,
c_078e54cd,Erysiphe akebiae,,,http://aims.fao.org/aos/agrovoc/c_078e54cd,
c_07929aa3,درجة حرارة السطح,,,http://aims.fao.org/aos/agrovoc/c_07929aa3,
c_0798f8cb,imidazolinone herbicides,,,http://aims.fao.org/aos/agrovoc/c_0798f8cb,
c_079b1bb7,Anchusa thessala,,,http://aims.fao.org/aos/agrovoc/c_079b1bb7,
c_079d5163,butroxydim,,,http://aims.fao.org/aos/agrovoc/c_079d5163,
c_07a53b91,Hyperaspis campestris,,,http://aims.fao.org/aos/agrovoc/c_07a53b91,
c_07aa5d5e,Gazella,,,http://aims.fao.org/aos/agrovoc/c_07aa5d5e,
c_07ab8a90,Solanum americanum,,,http://aims.fao.org/aos/agrovoc/c_07ab8a90,
c_07bf1a3e,Allium curtum,,,http://aims.fao.org/aos/agrovoc/c_07bf1a3e,
c_07c6c5ab,نظم بيئية جفافية,,,http://aims.fao.org/aos/agrovoc/c_07c6c5ab,
c_07cd9c57,تراص حراري,,,http://aims.fao.org/aos/agrovoc/c_07cd9c57,
c_07da14ba,قياس العمق,,,http://aims.fao.org/aos/agrovoc/c_07da14ba,
c_07e284fe,Lathyrus sphaericus,,,http://aims.fao.org/aos/agrovoc/c_07e284fe,
c_07ecab08,علم الوراثة الأمامي,,,http://aims.fao.org/aos/agrovoc/c_07ecab08,
c_07f0874c,Larinus planus,,,http://aims.fao.org/aos/agrovoc/c_07f0874c,
c_07fa6b94,Filippia,,,http://aims.fao.org/aos/agrovoc/c_07fa6b94,
c_080e6446,فرز الرواسب,,,http://aims.fao.org/aos/agrovoc/c_080e6446,
c_081270de,فيروسات رنوية ثنائيةالطاق,,,http://aims.fao.org/aos/agrovoc/c_081270de,
c_08323179,Bellavalia crassa,,,http://aims.fao.org/aos/agrovoc/c_08323179,
c_0833dbd7,Brachychiton populneus,,,http://aims.fao.org/aos/agrovoc/c_0833dbd7,
c_085e9ea7,Echinophora chrysantha,,,http://aims.fao.org/aos/agrovoc/c_085e9ea7,
c_086c9d19,Alternaria dianthi,,,http://aims.fao.org/aos/agrovoc/c_086c9d19,
c_086d5c59,Calvatia cyathiformis,,,http://aims.fao.org/aos/agrovoc/c_086d5c59,
c_0872ff35,Sanguisorba verrucosa,,,http://aims.fao.org/aos/agrovoc/c_0872ff35,
c_089fae8a,Actaea racemosa,,,http://aims.fao.org/aos/agrovoc/c_089fae8a,
c_08a0e564,العمر عند بداية الاستغلال,,,http://aims.fao.org/aos/agrovoc/c_08a0e564,
c_08a1ba70,Evergestis extimalis,,,http://aims.fao.org/aos/agrovoc/c_08a1ba70,
c_08a7c33f,نظائر الكزينون,,,http://aims.fao.org/aos/agrovoc/c_08a7c33f,
c_08c42d9c,Bifora radians,,,http://aims.fao.org/aos/agrovoc/c_08c42d9c,
c_08cdf676,Bellevalia kurdistanica,,,http://aims.fao.org/aos/agrovoc/c_08cdf676,
c_08d19be4,نوع العينات,,,http://aims.fao.org/aos/agrovoc/c_08d19be4,
c_08f4594a,Veronica hederifolia,,,http://aims.fao.org/aos/agrovoc/c_08f4594a,
c_08fed30e,Cimbex quadrimaculatus,,,http://aims.fao.org/aos/agrovoc/c_08fed30e,
c_0905b3d2,Paeonia daurica,,,http://aims.fao.org/aos/agrovoc/c_0905b3d2,
c_090f427c,أراضي سِلتيه متوسطة,,,http://aims.fao.org/aos/agrovoc/c_090f427c,
c_09108406,حرارة حَسَّاسة,,,http://aims.fao.org/aos/agrovoc/c_09108406,
c_091e6e53,Lamium vreemanii,,,http://aims.fao.org/aos/agrovoc/c_091e6e53,
c_0922191c,الأوركولا المتحولة,,,http://aims.fao.org/aos/agrovoc/c_0922191c,
c_09330257,Centaurea benedicta,,,http://aims.fao.org/aos/agrovoc/c_09330257,
c_093ee711,قابلية حركة التربة,,,http://aims.fao.org/aos/agrovoc/c_093ee711,
c_094802b4,Theileria ovis,,,http://aims.fao.org/aos/agrovoc/c_094802b4,
c_0949cb64,fullerene,,,http://aims.fao.org/aos/agrovoc/c_0949cb64,
c_095d612d,اتساق السياسات,,,http://aims.fao.org/aos/agrovoc/c_095d612d,
c_095f5a9b,Fusarium oxysporum f. sp. lycopersici,,,http://aims.fao.org/aos/agrovoc/c_095f5a9b,
c_097985de,معايير جودة المياه,,,http://aims.fao.org/aos/agrovoc/c_097985de,
c_0980c167,Persicaria serrulata,,,http://aims.fao.org/aos/agrovoc/c_0980c167,
c_09de33e2,كهرباء الغلاف الجوي,,,http://aims.fao.org/aos/agrovoc/c_09de33e2,
c_09e3eccc,Stipagrostis pungens,,,http://aims.fao.org/aos/agrovoc/c_09e3eccc,
c_0a269dfe,التنوع الحرجى,,,http://aims.fao.org/aos/agrovoc/c_0a269dfe,
c_0a2f9038,تشريع الحفاظ على التربة,,,http://aims.fao.org/aos/agrovoc/c_0a2f9038,
c_0a42ef7b,معدات على متن السفن,,,http://aims.fao.org/aos/agrovoc/c_0a42ef7b,
c_0a48b5bf,Erysiphe rayssiae,,,http://aims.fao.org/aos/agrovoc/c_0a48b5bf,
c_0a547f14,Orthops campestris,,,http://aims.fao.org/aos/agrovoc/c_0a547f14,
c_0a5529bf,النباتات البحرية,,,http://aims.fao.org/aos/agrovoc/c_0a5529bf,
c_0a5cb6df,Polygonum maritimum,,,http://aims.fao.org/aos/agrovoc/c_0a5cb6df,
c_0a61b571,أجهزة قياس الرطوبة بالأشعة تحت الحمراء,,,http://aims.fao.org/aos/agrovoc/c_0a61b571,
c_0a63ca6f,Thinopyrum intermedium subsp. intermedium,,,http://aims.fao.org/aos/agrovoc/c_0a63ca6f,
c_0a661123,المغناطيسية الأرضية,,,http://aims.fao.org/aos/agrovoc/c_0a661123,
c_0a6f8751,رواسب حيوية,,,http://aims.fao.org/aos/agrovoc/c_0a6f8751,
c_0a7ea616,الري بالمياه الجوفية,,,http://aims.fao.org/aos/agrovoc/c_0a7ea616,
c_0a817fe8,مؤشر منسلي جسم,,,http://aims.fao.org/aos/agrovoc/c_0a817fe8,
c_0a8b4e1e,تضاريس,,,http://aims.fao.org/aos/agrovoc/c_0a8b4e1e,
c_0a944dfd,Allium paniculatum,,,http://aims.fao.org/aos/agrovoc/c_0a944dfd,
c_0a9cb196,Erodium laciniatum,,,http://aims.fao.org/aos/agrovoc/c_0a9cb196,
c_0a9daef1,تتاليات الجيل التالي,,,http://aims.fao.org/aos/agrovoc/c_0a9daef1,
c_0ab1a8f9,Sternbergia clusiana,,,http://aims.fao.org/aos/agrovoc/c_0ab1a8f9,
c_0acde82f,Nipaecoccus nipae,,,http://aims.fao.org/aos/agrovoc/c_0acde82f,
c_0ae10de6,Scandix pecten-veneris,,,http://aims.fao.org/aos/agrovoc/c_0ae10de6,
c_0af5c0b5,ضريبة بيئية,,,http://aims.fao.org/aos/agrovoc/c_0af5c0b5,
c_0af5cbb5,Caesalpinia gilliesii,,,http://aims.fao.org/aos/agrovoc/c_0af5cbb5,
c_0af9cd7a,مُرُونَة,,,http://aims.fao.org/aos/agrovoc/c_0af9cd7a,
c_0b00417e,Blastophaga,,,http://aims.fao.org/aos/agrovoc/c_0b00417e,
c_0b0611f9,عجين سمك مخمّر,,,http://aims.fao.org/aos/agrovoc/c_0b0611f9,
c_0b12fb69,Aristolochia brevilabris,,,http://aims.fao.org/aos/agrovoc/c_0b12fb69,
c_0b321477,نظائر الأوسميوم,,,http://aims.fao.org/aos/agrovoc/c_0b321477,
c_0b397500,نظائر النيكل,,,http://aims.fao.org/aos/agrovoc/c_0b397500,
c_0b3d05b8,الهدف 5 المساواة بين الجنسين,,,http://aims.fao.org/aos/agrovoc/c_0b3d05b8,
c_0b3e4f51,Bromus arvensis,,,http://aims.fao.org/aos/agrovoc/c_0b3e4f51,
c_0b412ae5,Theba,,,http://aims.fao.org/aos/agrovoc/c_0b412ae5,
c_0b6d37e4,Lathyrus laxiflorus subsp. laxiflorus,,,http://aims.fao.org/aos/agrovoc/c_0b6d37e4,
c_0b88a82c,اخلاء,,,http://aims.fao.org/aos/agrovoc/c_0b88a82c,
c_0b9f9511,Salvia albimaculata,,,http://aims.fao.org/aos/agrovoc/c_0b9f9511,
c_0ba408cd,Aegilops geniculata,,,http://aims.fao.org/aos/agrovoc/c_0ba408cd,
c_0bb9bf88,Orobanche mutelii,,,http://aims.fao.org/aos/agrovoc/c_0bb9bf88,
c_0bd7d038,Acer tataricum,,,http://aims.fao.org/aos/agrovoc/c_0bd7d038,
c_0bdf48ef,هرولة,,,http://aims.fao.org/aos/agrovoc/c_0bdf48ef,
c_0be5e5ba,Atriplex hastata,,,http://aims.fao.org/aos/agrovoc/c_0be5e5ba,
c_0bf06353,Gladiolus micranthus,,,http://aims.fao.org/aos/agrovoc/c_0bf06353,
c_0bf0de9e,Antirrhinum majus,,,http://aims.fao.org/aos/agrovoc/c_0bf0de9e,
c_0bf1e365,Fritillaria baskilensis,,,http://aims.fao.org/aos/agrovoc/c_0bf1e365,
c_0bf2d5d3,Lactobacillaceae,,,http://aims.fao.org/aos/agrovoc/c_0bf2d5d3,
c_0c08f6af,Allium balansae,,,http://aims.fao.org/aos/agrovoc/c_0c08f6af,
c_0c09de54,Anas querquedula,,,http://aims.fao.org/aos/agrovoc/c_0c09de54,
c_0c12c56f,Pseudonocardiaceae,,,http://aims.fao.org/aos/agrovoc/c_0c12c56f,
c_0c184d6f,عُمْق القِطاع,,,http://aims.fao.org/aos/agrovoc/c_0c184d6f,
