"code","label_zh","note","concept","all_alternative_zh","all_hidden_zh","definition_en"
"c_00fc6dac","Beta adanensis","","http://aims.fao.org/aos/agrovoc/c_00fc6dac","","",""
"c_0102e3f7","版税","","http://aims.fao.org/aos/agrovoc/c_0102e3f7","","",""
"c_0105611b","Sideritis hololeuca","","http://aims.fao.org/aos/agrovoc/c_0105611b","","",""
"c_013b16cd","可持续发展目标","","http://aims.fao.org/aos/agrovoc/c_013b16cd","","",""
"c_013e15ad","Cicer judaicum","","http://aims.fao.org/aos/agrovoc/c_013e15ad","","",""
"c_013e3c3f","铁锰结核","","http://aims.fao.org/aos/agrovoc/c_013e3c3f","","",""
"c_014f4d29","声散射","","http://aims.fao.org/aos/agrovoc/c_014f4d29","","",""
"c_015a10d0","Scandix macrorhyncha","","http://aims.fao.org/aos/agrovoc/c_015a10d0","","",""
"c_015df0a5","鲑传染性贫血","","http://aims.fao.org/aos/agrovoc/c_015df0a5","","",""
"c_016afa96","极地考察","","http://aims.fao.org/aos/agrovoc/c_016afa96","","",""
"c_0177d2d2","熔岩流","","http://aims.fao.org/aos/agrovoc/c_0177d2d2","","",""
"c_017a900c","浮游植物群落","","http://aims.fao.org/aos/agrovoc/c_017a900c","","",""
"c_0187d00c","乳状蜂蜜","","http://aims.fao.org/aos/agrovoc/c_0187d00c","","",""
"c_0199d88a","陆架流","","http://aims.fao.org/aos/agrovoc/c_0199d88a","","",""
"c_019f7c0b","Cortinarius caperatus","","http://aims.fao.org/aos/agrovoc/c_019f7c0b","","",""
"c_01a507b7","补充（渔业）","","http://aims.fao.org/aos/agrovoc/c_01a507b7","","",""
"c_01a53647","水道","","http://aims.fao.org/aos/agrovoc/c_01a53647","","",""
"c_01abe6cf","汽艇","","http://aims.fao.org/aos/agrovoc/c_01abe6cf","","",""
"c_01ad7b16","Allium colchicifolium","","http://aims.fao.org/aos/agrovoc/c_01ad7b16","","",""
"c_01b7aa79","Fritillaria assyriaca subsp. assyriaca","","http://aims.fao.org/aos/agrovoc/c_01b7aa79","","",""
"c_01c7b3de","飞行习性","","http://aims.fao.org/aos/agrovoc/c_01c7b3de","","",""
"c_01cc5834","Allium siculum subsp. dioscoridis","","http://aims.fao.org/aos/agrovoc/c_01cc5834","","",""
"c_01ce5c50","Erodium acaule","","http://aims.fao.org/aos/agrovoc/c_01ce5c50","","",""
"c_01cf14ae","盐核","","http://aims.fao.org/aos/agrovoc/c_01cf14ae","","",""
"c_01d4db4f","抓斗式渔具","","http://aims.fao.org/aos/agrovoc/c_01d4db4f","","",""
"c_01ed930d","Allium stearnianum subsp. stearnianum","","http://aims.fao.org/aos/agrovoc/c_01ed930d","","",""
"c_01eedfe5","细胞核学","","http://aims.fao.org/aos/agrovoc/c_01eedfe5","","",""
"c_01f0e2ec","Allium baytopiorum","","http://aims.fao.org/aos/agrovoc/c_01f0e2ec","","",""
"c_01f22cd0","平均海平面","","http://aims.fao.org/aos/agrovoc/c_01f22cd0","","",""
"c_01f95724","光显微技术","","http://aims.fao.org/aos/agrovoc/c_01f95724","","",""
"c_02165b54","Cotinus coggygria","","http://aims.fao.org/aos/agrovoc/c_02165b54","","",""
"c_02196e24","Lathyrus brachypterus","","http://aims.fao.org/aos/agrovoc/c_02196e24","","",""
"c_021b8dd3","Arbutus andrachne","","http://aims.fao.org/aos/agrovoc/c_021b8dd3","","",""
"c_022049e1","Polygonum alpinum","","http://aims.fao.org/aos/agrovoc/c_022049e1","","",""
"c_02246cd7","委内瑞拉马脑炎","","http://aims.fao.org/aos/agrovoc/c_02246cd7","委内瑞拉马脑脊髓炎","",""
"c_02300498","能谱","","http://aims.fao.org/aos/agrovoc/c_02300498","","",""
"c_02514452","热刺激","","http://aims.fao.org/aos/agrovoc/c_02514452","","",""
"c_0251531e","Koeleria macrantha","","http://aims.fao.org/aos/agrovoc/c_0251531e","","",""
"c_02516980","误差","","http://aims.fao.org/aos/agrovoc/c_02516980","","",""
"c_025678e5","目标11 可持续城市和社区","","http://aims.fao.org/aos/agrovoc/c_025678e5","","",""
"c_0271cf02","淡水冰","","http://aims.fao.org/aos/agrovoc/c_0271cf02","","",""
"c_0273c413","单核苷酸多态性","","http://aims.fao.org/aos/agrovoc/c_0273c413","","",""
"c_0278ed5b","Asphodelus aestivus","","http://aims.fao.org/aos/agrovoc/c_0278ed5b","","",""
"c_02815699","Lycoperdon lividum","","http://aims.fao.org/aos/agrovoc/c_02815699","","",""
"c_0298275d","Populus afghanica","","http://aims.fao.org/aos/agrovoc/c_0298275d","","",""
"c_02a4b957","Polygonum patulum","","http://aims.fao.org/aos/agrovoc/c_02a4b957","","",""
"c_02a62b95","Fritillaria crassifolia subsp. kurdica","","http://aims.fao.org/aos/agrovoc/c_02a62b95","","",""
"c_02a775b2","异抗坏血酸","","http://aims.fao.org/aos/agrovoc/c_02a775b2","","",""
"c_02a9ddf9","短生河流","","http://aims.fao.org/aos/agrovoc/c_02a9ddf9","","",""
"c_02ad0525","Muscari turcicum","","http://aims.fao.org/aos/agrovoc/c_02ad0525","","",""
"c_02b11638","溶解性有机碳","","http://aims.fao.org/aos/agrovoc/c_02b11638","","",""
"c_02bf34c3","海岸工程","","http://aims.fao.org/aos/agrovoc/c_02bf34c3","","",""
"c_02c2e9aa","锰化合物","","http://aims.fao.org/aos/agrovoc/c_02c2e9aa","","",""
"c_02cda71c","经济冲击","","http://aims.fao.org/aos/agrovoc/c_02cda71c","","",""
"c_02d61475","放养池","","http://aims.fao.org/aos/agrovoc/c_02d61475","","",""
"c_02e0df9b","灾害波","","http://aims.fao.org/aos/agrovoc/c_02e0df9b","","",""
"c_02e1a336","角閃岩","","http://aims.fao.org/aos/agrovoc/c_02e1a336","","",""
"c_02fa4f86","系船缆索","","http://aims.fao.org/aos/agrovoc/c_02fa4f86","","",""
"c_03079252","铁合金","","http://aims.fao.org/aos/agrovoc/c_03079252","","",""
"c_031ee34f","蚜虫","","http://aims.fao.org/aos/agrovoc/c_031ee34f","","",""
"c_031fbb5e","上清液","","http://aims.fao.org/aos/agrovoc/c_031fbb5e","","",""
"c_03251a3d","Achillea biebersteinii","","http://aims.fao.org/aos/agrovoc/c_03251a3d","","",""
"c_03281b5e","潜水疾病","","http://aims.fao.org/aos/agrovoc/c_03281b5e","","",""
"c_0335255f","Trissolcus semistriatus","","http://aims.fao.org/aos/agrovoc/c_0335255f","","",""
"c_034813f6","Alicyclobacillaceae","","http://aims.fao.org/aos/agrovoc/c_034813f6","","",""
"c_034c0989","牺牲阳极","","http://aims.fao.org/aos/agrovoc/c_034c0989","","",""
"c_0367abe5","Echinophora","","http://aims.fao.org/aos/agrovoc/c_0367abe5","","",""
"c_03710075","底栖生态系统","","http://aims.fao.org/aos/agrovoc/c_03710075","","",""
"c_03719a43","亚致死效应","","http://aims.fao.org/aos/agrovoc/c_03719a43","","",""
"c_0371de18","Sideritis caesarea","","http://aims.fao.org/aos/agrovoc/c_0371de18","","",""
"c_037ed8a4","光头稗","","http://aims.fao.org/aos/agrovoc/c_037ed8a4","","",""
"c_0387fbf5","Viola kitaibeliana","","http://aims.fao.org/aos/agrovoc/c_0387fbf5","","",""
"c_038bfcfa","石料","","http://aims.fao.org/aos/agrovoc/c_038bfcfa","","",""
"c_03961d6f","大麦粉","","http://aims.fao.org/aos/agrovoc/c_03961d6f","","",""
"c_03a3e09d","声学海流计","","http://aims.fao.org/aos/agrovoc/c_03a3e09d","","",""
"c_03a8e02d","Calligonum","","http://aims.fao.org/aos/agrovoc/c_03a8e02d","","",""
"c_03ae1678","性别平等","","http://aims.fao.org/aos/agrovoc/c_03ae1678","","",""
"c_03b5aa2b","Ablattaria","","http://aims.fao.org/aos/agrovoc/c_03b5aa2b","","",""
"c_03b7c737","Ludwigia grandiflora","","http://aims.fao.org/aos/agrovoc/c_03b7c737","","",""
"c_03b7e519","国际政策","","http://aims.fao.org/aos/agrovoc/c_03b7e519","","",""
"c_03d36284","溶酶体","","http://aims.fao.org/aos/agrovoc/c_03d36284","","",""
"c_03d4c183","残留海岸线","","http://aims.fao.org/aos/agrovoc/c_03d4c183","","",""
"c_03d7ad75","Salvia hydrangea","","http://aims.fao.org/aos/agrovoc/c_03d7ad75","","",""
"c_03e47d4d","冰厚","","http://aims.fao.org/aos/agrovoc/c_03e47d4d","","",""
"c_03fd0555","氧同位素测年","","http://aims.fao.org/aos/agrovoc/c_03fd0555","","",""
"c_0422bed9","Alternaria infectoria","","http://aims.fao.org/aos/agrovoc/c_0422bed9","","",""
"c_043241bf","Hordeum cordobense","","http://aims.fao.org/aos/agrovoc/c_043241bf","","",""
"c_04382853","Anisoplia","","http://aims.fao.org/aos/agrovoc/c_04382853","","",""
"c_0441c8d5","淡水湖","","http://aims.fao.org/aos/agrovoc/c_0441c8d5","","",""
"c_0450404d","Allium sintenisii","","http://aims.fao.org/aos/agrovoc/c_0450404d","","",""
"c_0452a6de","漂流(观测)站","","http://aims.fao.org/aos/agrovoc/c_0452a6de","","",""
"c_0455cb86","张力计","","http://aims.fao.org/aos/agrovoc/c_0455cb86","","",""
"c_0467f906","Cicer heterophyllum","","http://aims.fao.org/aos/agrovoc/c_0467f906","","",""
"c_04731d35","活蓄","","http://aims.fao.org/aos/agrovoc/c_04731d35","","",""
"c_04742f75","肥胖症","","http://aims.fao.org/aos/agrovoc/c_04742f75","","",""
"c_047725a6","惯性流","","http://aims.fao.org/aos/agrovoc/c_047725a6","","",""
"c_04878d84","无线电导航","","http://aims.fao.org/aos/agrovoc/c_04878d84","","",""
"c_04a08110","海龟逃逸设备","","http://aims.fao.org/aos/agrovoc/c_04a08110","释放海龟设备","",""
"c_04b802eb","世代","","http://aims.fao.org/aos/agrovoc/c_04b802eb","","",""
"c_04b9083b","微生物交叉污染","","http://aims.fao.org/aos/agrovoc/c_04b9083b","","",""
"c_04c4635e","Tungrovirus","","http://aims.fao.org/aos/agrovoc/c_04c4635e","","",""
"c_04c53419","性别关系","","http://aims.fao.org/aos/agrovoc/c_04c53419","","",""
"c_04cd70f3","Erysiphe flexuosa","","http://aims.fao.org/aos/agrovoc/c_04cd70f3","","",""
"c_04d78bff","罗斯贝参数","","http://aims.fao.org/aos/agrovoc/c_04d78bff","","",""
"c_04e08adc","干豆","","http://aims.fao.org/aos/agrovoc/c_04e08adc","","",""
"c_04e576bf","展览日","","http://aims.fao.org/aos/agrovoc/c_04e576bf","","",""
"c_04f04701","链条","","http://aims.fao.org/aos/agrovoc/c_04f04701","","",""
"c_04fbfdc4","系泊浮标","","http://aims.fao.org/aos/agrovoc/c_04fbfdc4","","",""
"c_04ff864e","Anchusa azurea var. kurdica","","http://aims.fao.org/aos/agrovoc/c_04ff864e","","",""
"c_050477cd","Lathyrus spathulatus","","http://aims.fao.org/aos/agrovoc/c_050477cd","","",""
"c_050da850","Schistonchus","","http://aims.fao.org/aos/agrovoc/c_050da850","","",""
"c_05110aa4","鱼类毒药","","http://aims.fao.org/aos/agrovoc/c_05110aa4","","",""
"c_0516b079","Cripavirus","","http://aims.fao.org/aos/agrovoc/c_0516b079","","",""
"c_05171127","Alcea rosea","","http://aims.fao.org/aos/agrovoc/c_05171127","","",""
"c_05188cd8","Lactarius deterrimus","","http://aims.fao.org/aos/agrovoc/c_05188cd8","","",""
"c_052454b6","病毒粒子","","http://aims.fao.org/aos/agrovoc/c_052454b6","病毒颗粒","",""
"c_0543301f","田地分块","","http://aims.fao.org/aos/agrovoc/c_0543301f","","",""
"c_055f07d9","罗斯贝数","","http://aims.fao.org/aos/agrovoc/c_055f07d9","","",""
"c_05813567","重力异常","","http://aims.fao.org/aos/agrovoc/c_05813567","","",""
"c_0598aab4","陆架地质学","","http://aims.fao.org/aos/agrovoc/c_0598aab4","","",""
"c_059a6d82","Allium aschersonianum","","http://aims.fao.org/aos/agrovoc/c_059a6d82","","",""
"c_05aa079d","Xanthomonas axonopodis pv. malvacearum","","http://aims.fao.org/aos/agrovoc/c_05aa079d","","",""
"c_05b037db","地震波速","","http://aims.fao.org/aos/agrovoc/c_05b037db","","",""
"c_05b3a107","乌贼养殖","","http://aims.fao.org/aos/agrovoc/c_05b3a107","","",""
"c_05ba5b54","分布记录","","http://aims.fao.org/aos/agrovoc/c_05ba5b54","","",""
"c_05bf39fc","Malva nicaeensis","","http://aims.fao.org/aos/agrovoc/c_05bf39fc","","",""
"c_05c0398e","Rhaponticum","","http://aims.fao.org/aos/agrovoc/c_05c0398e","","",""
"c_05c08c04","Lonicera periclymenum","","http://aims.fao.org/aos/agrovoc/c_05c08c04","","",""
"c_05ccd828","Prosopis farcta","","http://aims.fao.org/aos/agrovoc/c_05ccd828","","",""
"c_05cd5033","生物侵蚀","","http://aims.fao.org/aos/agrovoc/c_05cd5033","","",""
"c_05ceb781","文献评论","","http://aims.fao.org/aos/agrovoc/c_05ceb781","","",""
"c_05d75704","Geranium sanguineum","","http://aims.fao.org/aos/agrovoc/c_05d75704","","",""
"c_05d996fd","Lyonetia clerkella","","http://aims.fao.org/aos/agrovoc/c_05d996fd","","",""
"c_05dad401","Salvia haussknechtii","","http://aims.fao.org/aos/agrovoc/c_05dad401","","",""
"c_05dc6685","目录","","http://aims.fao.org/aos/agrovoc/c_05dc6685","","",""
"c_05dfe4e2","猴痘","","http://aims.fao.org/aos/agrovoc/c_05dfe4e2","","",""
"c_05e91eaa","动力高度","","http://aims.fao.org/aos/agrovoc/c_05e91eaa","","",""
"c_05ee163a","自由下落仪器","","http://aims.fao.org/aos/agrovoc/c_05ee163a","","",""
"c_05f11628","Lactobacillus kimchii","","http://aims.fao.org/aos/agrovoc/c_05f11628","","",""
"c_0602f28e","气候服务","","http://aims.fao.org/aos/agrovoc/c_0602f28e","","",""
"c_06049ef3","认证计划","","http://aims.fao.org/aos/agrovoc/c_06049ef3","","",""
"c_060d4d8f","极地气象学","","http://aims.fao.org/aos/agrovoc/c_060d4d8f","","",""
"c_0619dd9e","链式耙","","http://aims.fao.org/aos/agrovoc/c_0619dd9e","","",""
"c_061b5541","面盘幼虫","","http://aims.fao.org/aos/agrovoc/c_061b5541","","",""
"c_061ccfc0","Allium nigrum","","http://aims.fao.org/aos/agrovoc/c_061ccfc0","","",""
"c_06277c77","Euryale","","http://aims.fao.org/aos/agrovoc/c_06277c77","","",""
"c_0627ff0c","焦散线(数学)","","http://aims.fao.org/aos/agrovoc/c_0627ff0c","","",""
"c_062ceb63","Alnus glutinosa subsp. barbata","","http://aims.fao.org/aos/agrovoc/c_062ceb63","","",""
"c_06316446","地震资料","","http://aims.fao.org/aos/agrovoc/c_06316446","","",""
"c_063a6edd","Baylisascaris columnaris","","http://aims.fao.org/aos/agrovoc/c_063a6edd","","",""
"c_063c779b","Cyperus fuscus","","http://aims.fao.org/aos/agrovoc/c_063c779b","","",""
"c_0640b006","土壤结持性","","http://aims.fao.org/aos/agrovoc/c_0640b006","","",""
"c_064c1d92","Crocus flavus subsp. dissectus","","http://aims.fao.org/aos/agrovoc/c_064c1d92","","",""
"c_06503137","Salvia adenophylla","","http://aims.fao.org/aos/agrovoc/c_06503137","","",""
"c_0651fdf0","穹丘","","http://aims.fao.org/aos/agrovoc/c_0651fdf0","","",""
"c_0653c563","污水处理场地","","http://aims.fao.org/aos/agrovoc/c_0653c563","","",""
"c_06588a87","冰崖面","","http://aims.fao.org/aos/agrovoc/c_06588a87","","",""
"c_066306e7","Colchicum decaisnei","","http://aims.fao.org/aos/agrovoc/c_066306e7","","",""
"c_06630b85","密穗马唐","","http://aims.fao.org/aos/agrovoc/c_06630b85","","",""
"c_06894f5a","Neoerysiphe","","http://aims.fao.org/aos/agrovoc/c_06894f5a","","",""
"c_068f267a","水下摄影","","http://aims.fao.org/aos/agrovoc/c_068f267a","","",""
"c_069242cc","Urochloa ramosa","","http://aims.fao.org/aos/agrovoc/c_069242cc","","",""
"c_0696f69c","金枪鱼油","","http://aims.fao.org/aos/agrovoc/c_0696f69c","","",""
"c_06a2c98f","Coccinella undecimpunctata","","http://aims.fao.org/aos/agrovoc/c_06a2c98f","","",""
"c_06b46402","Nigella damascena","","http://aims.fao.org/aos/agrovoc/c_06b46402","","",""
"c_06b489b0","氧同位素","","http://aims.fao.org/aos/agrovoc/c_06b489b0","","",""
"c_06b4fb93","生物固体","","http://aims.fao.org/aos/agrovoc/c_06b4fb93","","",""
"c_06c98243","Alternaria burnsii","","http://aims.fao.org/aos/agrovoc/c_06c98243","","",""
"c_06ca5a52","形态测量学","","http://aims.fao.org/aos/agrovoc/c_06ca5a52","","",""
"c_06d7dd5c","Ferulago trachycarpa","","http://aims.fao.org/aos/agrovoc/c_06d7dd5c","","",""
"c_06d978c8","工业产品","","http://aims.fao.org/aos/agrovoc/c_06d978c8","","",""
"c_06df2240","农业转型","","http://aims.fao.org/aos/agrovoc/c_06df2240","","",""
"c_06e56949","大陆边缘","","http://aims.fao.org/aos/agrovoc/c_06e56949","","",""
"c_06e80ac9","进水口温度","","http://aims.fao.org/aos/agrovoc/c_06e80ac9","","",""
"c_06ebfdec","玻里尼西亚","","http://aims.fao.org/aos/agrovoc/c_06ebfdec","","",""
"c_0708e29f","巢脾蜜","","http://aims.fao.org/aos/agrovoc/c_0708e29f","巢蜜","",""
"c_0717c6b7","波列","","http://aims.fao.org/aos/agrovoc/c_0717c6b7","","",""
"c_07250ae8","Lonicera xylosteum","","http://aims.fao.org/aos/agrovoc/c_07250ae8","","",""
"c_0725371c","目标15 陆地生物","","http://aims.fao.org/aos/agrovoc/c_0725371c","","",""
"c_072568df","Buddleja davidii","","http://aims.fao.org/aos/agrovoc/c_072568df","","",""
"c_0738cb4f","表层盐度","","http://aims.fao.org/aos/agrovoc/c_0738cb4f","","",""
"c_07391c88","Tadorna","","http://aims.fao.org/aos/agrovoc/c_07391c88","","",""
"c_07451543","水下能见度","","http://aims.fao.org/aos/agrovoc/c_07451543","","",""
"c_0747b784","Lamium multifidum","","http://aims.fao.org/aos/agrovoc/c_0747b784","","",""
"c_074cc5dd","淡水哺乳动物","","http://aims.fao.org/aos/agrovoc/c_074cc5dd","","",""
"c_074d14f0","Physalis pubescens","","http://aims.fao.org/aos/agrovoc/c_074d14f0","","",""
"c_074d268e","Lathyrus inconspicuus","","http://aims.fao.org/aos/agrovoc/c_074d268e","","",""
"c_0756a840","工具书","","http://aims.fao.org/aos/agrovoc/c_0756a840","参考材料","",""
"c_0775cd4b","抗性淀粉","","http://aims.fao.org/aos/agrovoc/c_0775cd4b","","",""
"c_07767e57","Onopordum acanthium","","http://aims.fao.org/aos/agrovoc/c_07767e57","","",""
"c_077ac042","声学设备","","http://aims.fao.org/aos/agrovoc/c_077ac042","","",""
"c_078e54cd","Erysiphe akebiae","","http://aims.fao.org/aos/agrovoc/c_078e54cd","","",""
"c_07929aa3","表面温度","","http://aims.fao.org/aos/agrovoc/c_07929aa3","","",""
"c_079b1bb7","Anchusa thessala","","http://aims.fao.org/aos/agrovoc/c_079b1bb7","","",""
"c_07a53b91","Hyperaspis campestris","","http://aims.fao.org/aos/agrovoc/c_07a53b91","","",""
"c_07a98e20","鱼类遗传学","","http://aims.fao.org/aos/agrovoc/c_07a98e20","","",""
"c_07aa5d5e","Gazella","","http://aims.fao.org/aos/agrovoc/c_07aa5d5e","","",""
"c_07ab8a90","Solanum americanum","","http://aims.fao.org/aos/agrovoc/c_07ab8a90","","",""
"c_07bf1a3e","Allium curtum","","http://aims.fao.org/aos/agrovoc/c_07bf1a3e","","",""
"c_07c4fe59","肺换气","","http://aims.fao.org/aos/agrovoc/c_07c4fe59","","",""
"c_07c6c5ab","旱地生态系统","","http://aims.fao.org/aos/agrovoc/c_07c6c5ab","","",""
"c_07cd9c57","分层，温度的","","http://aims.fao.org/aos/agrovoc/c_07cd9c57","","",""
"c_07d21ff0","生物能学","","http://aims.fao.org/aos/agrovoc/c_07d21ff0","","",""
"c_07da14ba","深度测量","","http://aims.fao.org/aos/agrovoc/c_07da14ba","","",""
"c_07e284fe","Lathyrus sphaericus","","http://aims.fao.org/aos/agrovoc/c_07e284fe","","",""
"c_07f0874c","Larinus planus","","http://aims.fao.org/aos/agrovoc/c_07f0874c","","",""
"c_07fa6b94","Filippia","","http://aims.fao.org/aos/agrovoc/c_07fa6b94","","",""
"c_07ff8972","虫黄藻","","http://aims.fao.org/aos/agrovoc/c_07ff8972","","",""
"c_0802adfe","农业干旱","","http://aims.fao.org/aos/agrovoc/c_0802adfe","","",""
"c_080e6446","沉积物分选","","http://aims.fao.org/aos/agrovoc/c_080e6446","","",""
"c_082ec48c","跳蚤","","http://aims.fao.org/aos/agrovoc/c_082ec48c","","",""
"c_08323179","Bellavalia crassa","","http://aims.fao.org/aos/agrovoc/c_08323179","","",""
"c_0833dbd7","Brachychiton populneus","","http://aims.fao.org/aos/agrovoc/c_0833dbd7","","",""
"c_083bd76b","边界层","","http://aims.fao.org/aos/agrovoc/c_083bd76b","","",""
"c_084edeb6","搁浅","","http://aims.fao.org/aos/agrovoc/c_084edeb6","","",""
"c_085bb3b7","生物礁","","http://aims.fao.org/aos/agrovoc/c_085bb3b7","","",""
"c_085e9ea7","Echinophora chrysantha","","http://aims.fao.org/aos/agrovoc/c_085e9ea7","","",""
"c_0861ccd4","水透明度","","http://aims.fao.org/aos/agrovoc/c_0861ccd4","","",""
"c_086c9d19","Alternaria dianthi","","http://aims.fao.org/aos/agrovoc/c_086c9d19","","",""
"c_086d5c59","Calvatia cyathiformis","","http://aims.fao.org/aos/agrovoc/c_086d5c59","","",""
"c_0872ff35","Sanguisorba verrucosa","","http://aims.fao.org/aos/agrovoc/c_0872ff35","","",""
"c_08842b17","植物生长","","http://aims.fao.org/aos/agrovoc/c_08842b17","","",""
"c_089fae8a","Actaea racemosa","","http://aims.fao.org/aos/agrovoc/c_089fae8a","","",""
"c_08a0e564","补充（群体）年龄","","http://aims.fao.org/aos/agrovoc/c_08a0e564","加入（群体）年龄","",""
"c_08a0edfb","植物棒","","http://aims.fao.org/aos/agrovoc/c_08a0edfb","","",""
"c_08a1ba70","Evergestis extimalis","","http://aims.fao.org/aos/agrovoc/c_08a1ba70","","",""
"c_08a7c33f","氙同位素","","http://aims.fao.org/aos/agrovoc/c_08a7c33f","","",""
"c_08be90dd","板块边界","","http://aims.fao.org/aos/agrovoc/c_08be90dd","","",""
"c_08c04063","稳定地块","","http://aims.fao.org/aos/agrovoc/c_08c04063","","",""
"c_08c2e5cc","海岸警备队","","http://aims.fao.org/aos/agrovoc/c_08c2e5cc","","",""
"c_08c42d9c","Bifora radians","","http://aims.fao.org/aos/agrovoc/c_08c42d9c","","",""
"c_08cdf676","Bellevalia kurdistanica","","http://aims.fao.org/aos/agrovoc/c_08cdf676","","",""
"c_08d19be4","模式标本","","http://aims.fao.org/aos/agrovoc/c_08d19be4","","",""
"c_08da821f","油码头","","http://aims.fao.org/aos/agrovoc/c_08da821f","","",""
"c_08f4594a","Veronica hederifolia","","http://aims.fao.org/aos/agrovoc/c_08f4594a","","",""
"c_08fed30e","Cimbex quadrimaculatus","","http://aims.fao.org/aos/agrovoc/c_08fed30e","","",""
"c_0905b3d2","Paeonia daurica","","http://aims.fao.org/aos/agrovoc/c_0905b3d2","","",""
"c_09108406","显热","","http://aims.fao.org/aos/agrovoc/c_09108406","","",""
"c_091e6e53","Lamium vreemanii","","http://aims.fao.org/aos/agrovoc/c_091e6e53","","",""
"c_0922191c","几内亚小米","","http://aims.fao.org/aos/agrovoc/c_0922191c","","",""
"c_09330257","Centaurea benedicta","","http://aims.fao.org/aos/agrovoc/c_09330257","","",""
"c_093d240f","海上工程","","http://aims.fao.org/aos/agrovoc/c_093d240f","","",""
"c_094802b4","Theileria ovis","","http://aims.fao.org/aos/agrovoc/c_094802b4","","",""
"c_094dd3e6","古环境","","http://aims.fao.org/aos/agrovoc/c_094dd3e6","","",""
"c_095544cb","冰原","","http://aims.fao.org/aos/agrovoc/c_095544cb","","",""
"c_095d612d","政策一致性","","http://aims.fao.org/aos/agrovoc/c_095d612d","","",""
"c_095f5a9b","Fusarium oxysporum f. sp. lycopersici","","http://aims.fao.org/aos/agrovoc/c_095f5a9b","","",""
"c_097985de","水质标准","","http://aims.fao.org/aos/agrovoc/c_097985de","","",""
"c_0980c167","Persicaria serrulata","","http://aims.fao.org/aos/agrovoc/c_0980c167","","",""
"c_09881041","颗粒定向","","http://aims.fao.org/aos/agrovoc/c_09881041","","",""
"c_09b1b603","蓝须鲸单位","","http://aims.fao.org/aos/agrovoc/c_09b1b603","","",""
"c_09be5ea3","上升滩","","http://aims.fao.org/aos/agrovoc/c_09be5ea3","","",""
"c_09de33e2","大气电性","","http://aims.fao.org/aos/agrovoc/c_09de33e2","","",""
"c_09e3eccc","Stipagrostis pungens","","http://aims.fao.org/aos/agrovoc/c_09e3eccc","","",""
"c_09ec32c4","超声装置","","http://aims.fao.org/aos/agrovoc/c_09ec32c4","","",""
"c_09f4f818","调和函数","","http://aims.fao.org/aos/agrovoc/c_09f4f818","","",""
"c_09f91c53","湖泊修复","","http://aims.fao.org/aos/agrovoc/c_09f91c53","","",""
"c_0a02e602","沉积物漂移","","http://aims.fao.org/aos/agrovoc/c_0a02e602","","",""
"c_0a0accfa","地方植物","","http://aims.fao.org/aos/agrovoc/c_0a0accfa","","",""
"c_0a269dfe","森林生物多样性","","http://aims.fao.org/aos/agrovoc/c_0a269dfe","林业生物多样性","",""
"c_0a372212","河边环境","","http://aims.fao.org/aos/agrovoc/c_0a372212","","",""
"c_0a42ef7b","船上设备","","http://aims.fao.org/aos/agrovoc/c_0a42ef7b","","",""
