code,label_fr,definition_fr,note,concept,all_alternative_fr
c_02edd8de,vecteur phasmid,,,http://aims.fao.org/aos/agrovoc/c_02edd8de,
c_02fa4f86,lignes d'amarrage,,,http://aims.fao.org/aos/agrovoc/c_02fa4f86,
c_03079252,alliage ferreux,,,http://aims.fao.org/aos/agrovoc/c_03079252,
c_031fbb5e,surnageant,,,http://aims.fao.org/aos/agrovoc/c_031fbb5e,
c_03251a3d,Achillea biebersteinii,,,http://aims.fao.org/aos/agrovoc/c_03251a3d,
c_03281b5e,dangers de la plongée,,,http://aims.fao.org/aos/agrovoc/c_03281b5e,
c_0335255f,Trissolcus semistriatus,,,http://aims.fao.org/aos/agrovoc/c_0335255f,
c_03464127,plancher entièrement en caillebotis,,,http://aims.fao.org/aos/agrovoc/c_03464127,
c_034813f6,Alicyclobacillaceae,,,http://aims.fao.org/aos/agrovoc/c_034813f6,
c_034c0989,anode sacrificielle,"Fait référence à un métal qui se dissout lentement dans une réaction de corrosion et, de ce fait, protège un second métal contre la corrosion (par exemple, l'étain qui réagit comme une anode sacrificielle afin de protéger le couple de base d'acier).",,http://aims.fao.org/aos/agrovoc/c_034c0989,
c_03618785,écologie politique,,,http://aims.fao.org/aos/agrovoc/c_03618785,
c_0367abe5,Echinophora,,,http://aims.fao.org/aos/agrovoc/c_0367abe5,
c_03710075,écosystème benthique,,,http://aims.fao.org/aos/agrovoc/c_03710075,
c_03719a43,effets sublétaux,,,http://aims.fao.org/aos/agrovoc/c_03719a43,
c_0371de18,Sideritis caesarea,,,http://aims.fao.org/aos/agrovoc/c_0371de18,
c_037ed8a4,panic pied-de-coq,,,http://aims.fao.org/aos/agrovoc/c_037ed8a4,panisse|millet japonais
c_0387fbf5,Viola kitaibeliana,,,http://aims.fao.org/aos/agrovoc/c_0387fbf5,
c_038bfcfa,enrochement,,,http://aims.fao.org/aos/agrovoc/c_038bfcfa,perré de protection
c_03961d6f,farine d'orge,,,http://aims.fao.org/aos/agrovoc/c_03961d6f,
c_03a3e09d,courantomètre acoustique,,,http://aims.fao.org/aos/agrovoc/c_03a3e09d,
c_03a8e02d,Calligonum,,,http://aims.fao.org/aos/agrovoc/c_03a8e02d,
c_03ae1678,égalité entre les sexes,,,http://aims.fao.org/aos/agrovoc/c_03ae1678,
c_03b5aa2b,Ablattaria,,,http://aims.fao.org/aos/agrovoc/c_03b5aa2b,
c_03b7c737,Ludwigia grandiflora,,,http://aims.fao.org/aos/agrovoc/c_03b7c737,
c_03b7e519,politiques internationales,,,http://aims.fao.org/aos/agrovoc/c_03b7e519,
c_03bcc74e,sodium bispyribac,,,http://aims.fao.org/aos/agrovoc/c_03bcc74e,
c_03d36284,lyposome,,,http://aims.fao.org/aos/agrovoc/c_03d36284,
c_03d4c183,rivage relique,,,http://aims.fao.org/aos/agrovoc/c_03d4c183,
c_03d7ad75,Salvia hydrangea,,,http://aims.fao.org/aos/agrovoc/c_03d7ad75,
c_03db719d,alimentation du bétail,,,http://aims.fao.org/aos/agrovoc/c_03db719d,
c_03e47d4d,épaisseur de glace,,,http://aims.fao.org/aos/agrovoc/c_03e47d4d,
c_03eafe35,riz complet,,,http://aims.fao.org/aos/agrovoc/c_03eafe35,
c_03fd0555,datation isotopique de l'oxygène,,,http://aims.fao.org/aos/agrovoc/c_03fd0555,
c_0422bed9,Alternaria infectoria,,,http://aims.fao.org/aos/agrovoc/c_0422bed9,
c_043241bf,Hordeum cordobense,,,http://aims.fao.org/aos/agrovoc/c_043241bf,
c_04382853,Anisoplia,,,http://aims.fao.org/aos/agrovoc/c_04382853,
c_0441c8d5,lac d'eau douce,,,http://aims.fao.org/aos/agrovoc/c_0441c8d5,
c_0450404d,Allium sintenisii,,,http://aims.fao.org/aos/agrovoc/c_0450404d,
c_0452a6de,station dérivante,,,http://aims.fao.org/aos/agrovoc/c_0452a6de,
c_0455cb86,tensiomètre,,,http://aims.fao.org/aos/agrovoc/c_0455cb86,
c_0467f906,Cicer heterophyllum,,,http://aims.fao.org/aos/agrovoc/c_0467f906,
c_04742f75,obésité,,,http://aims.fao.org/aos/agrovoc/c_04742f75,
c_047725a6,courant inertiel,,,http://aims.fao.org/aos/agrovoc/c_047725a6,
c_04878d84,radionavigation,,,http://aims.fao.org/aos/agrovoc/c_04878d84,
c_04a08110,dispositif d'exclusion des tortues,,,http://aims.fao.org/aos/agrovoc/c_04a08110,
c_04b9083b,contamination croisée microbienne,,,http://aims.fao.org/aos/agrovoc/c_04b9083b,contamination microbiologique croisée
c_04c4635e,Tungrovirus,,,http://aims.fao.org/aos/agrovoc/c_04c4635e,
c_04c53419,relations entre hommes et femmes,,,http://aims.fao.org/aos/agrovoc/c_04c53419,
c_04cd70f3,Erysiphe flexuosa,,,http://aims.fao.org/aos/agrovoc/c_04cd70f3,
c_04d78bff,paramètre de Rossby,,,http://aims.fao.org/aos/agrovoc/c_04d78bff,
c_04e08adc,haricot sec,,,http://aims.fao.org/aos/agrovoc/c_04e08adc,
c_04e576bf,journées de démonstration,,,http://aims.fao.org/aos/agrovoc/c_04e576bf,
c_04ed021e,herbicide sulfonylurea pyrimidinyl,,,http://aims.fao.org/aos/agrovoc/c_04ed021e,
c_04f04701,chaîne,,,http://aims.fao.org/aos/agrovoc/c_04f04701,
c_04f3705c,graine de périlla,,,http://aims.fao.org/aos/agrovoc/c_04f3705c,
c_04fbfdc4,bouée d'amarrage,,,http://aims.fao.org/aos/agrovoc/c_04fbfdc4,
c_04ff864e,Anchusa azurea var. kurdica,,,http://aims.fao.org/aos/agrovoc/c_04ff864e,
c_050477cd,Lathyrus spathulatus,,,http://aims.fao.org/aos/agrovoc/c_050477cd,
c_050da850,Schistonchus,,,http://aims.fao.org/aos/agrovoc/c_050da850,
c_05110aa4,piscicide,,,http://aims.fao.org/aos/agrovoc/c_05110aa4,
c_0516b079,cripavirus,,,http://aims.fao.org/aos/agrovoc/c_0516b079,
c_05171127,Alcea rosea,,,http://aims.fao.org/aos/agrovoc/c_05171127,
c_05188cd8,Lactarius deterrimus,,,http://aims.fao.org/aos/agrovoc/c_05188cd8,
c_051a24bc,alimentation des buffles,,,http://aims.fao.org/aos/agrovoc/c_051a24bc,
c_052454b6,virion,,,http://aims.fao.org/aos/agrovoc/c_052454b6,
c_05245b05,hybridation distante,,,http://aims.fao.org/aos/agrovoc/c_05245b05,
c_053648ca,fongicide organomercuriel,,,http://aims.fao.org/aos/agrovoc/c_053648ca,
c_0543301f,morcellement des terres,"Est la répartition des terres en parcelles de plus en plus petites en raison des systèmes d’héritage, de la nécessité de tirer parti des variations écologiques ou du fonctionnement des marchés fonciers. Le morcellement des terres peut être le fait d’une seule personne, d’une seule famille ou d’une seule organisation qui possède plusieurs parcelles 
géographiquement séparées, ou de petites parcelles détenues individuellement par des processus d’héritage ou d’autres processus d’allocation qui divisent les terres de manière égale entre un 
groupe.",,http://aims.fao.org/aos/agrovoc/c_0543301f,
c_0559f8c7,conception de vêtements,,,http://aims.fao.org/aos/agrovoc/c_0559f8c7,
c_055f07d9,nombre de Rossby,,,http://aims.fao.org/aos/agrovoc/c_055f07d9,
c_05813567,anomalie de gravité,,,http://aims.fao.org/aos/agrovoc/c_05813567,
c_0598aab4,géologie du plateau,,,http://aims.fao.org/aos/agrovoc/c_0598aab4,
c_059a6d82,Allium aschersonianum,,,http://aims.fao.org/aos/agrovoc/c_059a6d82,
c_05aa079d,Xanthomonas axonopodis pv. malvacearum,,,http://aims.fao.org/aos/agrovoc/c_05aa079d,
c_05b037db,vitesse sismique,,,http://aims.fao.org/aos/agrovoc/c_05b037db,
c_05b3a107,élevage de seiches,,,http://aims.fao.org/aos/agrovoc/c_05b3a107,
c_05ba5b54,registre de distribution,,,http://aims.fao.org/aos/agrovoc/c_05ba5b54,
c_05bf39fc,Malva nicaeensis,,,http://aims.fao.org/aos/agrovoc/c_05bf39fc,
c_05c0398e,Rhaponticum,,,http://aims.fao.org/aos/agrovoc/c_05c0398e,
c_05c08c04,Lonicera periclymenum,,,http://aims.fao.org/aos/agrovoc/c_05c08c04,
c_05ccd828,Prosopis farcta,,,http://aims.fao.org/aos/agrovoc/c_05ccd828,
c_05cd5033,bioérosion,,,http://aims.fao.org/aos/agrovoc/c_05cd5033,
c_05ceb781,article de revue,,,http://aims.fao.org/aos/agrovoc/c_05ceb781,étude bibliographique
c_05d75704,Geranium sanguineum,,,http://aims.fao.org/aos/agrovoc/c_05d75704,
c_05d996fd,Lyonetia clerkella,,,http://aims.fao.org/aos/agrovoc/c_05d996fd,
c_05dad401,Salvia haussknechtii,,,http://aims.fao.org/aos/agrovoc/c_05dad401,
c_05dc6685,catalogue,,,http://aims.fao.org/aos/agrovoc/c_05dc6685,
c_05dfe4e2,variole du singe,La variole du singe est une maladie zoonotique virale provoquée par une infection par le virus de la variole du singe. Cette maladie survient principalement dans les zones de forêt tropicale humide d’Afrique centrale et occidentale et est parfois exporté vers d’autres régions. Le virus de la variole du singe appartient au genre Orthopoxvirus de la famille des Poxviridae.,,http://aims.fao.org/aos/agrovoc/c_05dfe4e2,orthopoxvirose simienne
c_05e91eaa,hauteur dynamique,,,http://aims.fao.org/aos/agrovoc/c_05e91eaa,
c_05ee163a,instrument de chute libre,,,http://aims.fao.org/aos/agrovoc/c_05ee163a,
c_05f11628,Lactobacillus kimchii,,,http://aims.fao.org/aos/agrovoc/c_05f11628,
c_05f1777f,azote assimilable par la plante,,,http://aims.fao.org/aos/agrovoc/c_05f1777f,
c_0602f28e,service climatique,,,http://aims.fao.org/aos/agrovoc/c_0602f28e,
c_06049ef3,système de certification,,,http://aims.fao.org/aos/agrovoc/c_06049ef3,
c_060d4d8f,météorologie polaire,,,http://aims.fao.org/aos/agrovoc/c_060d4d8f,
c_0619dd9e,herse à chaine,,,http://aims.fao.org/aos/agrovoc/c_0619dd9e,
c_061b5541,véligère,,,http://aims.fao.org/aos/agrovoc/c_061b5541,
c_061ccfc0,Allium nigrum,,,http://aims.fao.org/aos/agrovoc/c_061ccfc0,
c_06277c77,Euryale,,,http://aims.fao.org/aos/agrovoc/c_06277c77,
c_0627ff0c,caustique,,,http://aims.fao.org/aos/agrovoc/c_0627ff0c,
c_062ceb63,Alnus glutinosa subsp. barbata,,,http://aims.fao.org/aos/agrovoc/c_062ceb63,
c_06316446,données sismiques,,,http://aims.fao.org/aos/agrovoc/c_06316446,
c_063a6edd,Baylisascaris columnaris,,,http://aims.fao.org/aos/agrovoc/c_063a6edd,
c_063c779b,Cyperus fuscus,,,http://aims.fao.org/aos/agrovoc/c_063c779b,
c_063fb635,haplotype,,,http://aims.fao.org/aos/agrovoc/c_063fb635,
c_0640b006,consistance du sol,,,http://aims.fao.org/aos/agrovoc/c_0640b006,
c_064c1d92,Crocus flavus subsp. dissectus,,,http://aims.fao.org/aos/agrovoc/c_064c1d92,
c_06503137,Salvia adenophylla,,,http://aims.fao.org/aos/agrovoc/c_06503137,
c_0651fdf0,dome,,,http://aims.fao.org/aos/agrovoc/c_0651fdf0,
c_0653c563,champ d'épandage,,,http://aims.fao.org/aos/agrovoc/c_0653c563,champ d'épuration
c_06588a87,front glaciaire,,,http://aims.fao.org/aos/agrovoc/c_06588a87,
c_065f7b6b,bromoxynil octanoate,,,http://aims.fao.org/aos/agrovoc/c_065f7b6b,
c_066306e7,Colchicum decaisnei,,,http://aims.fao.org/aos/agrovoc/c_066306e7,
c_06630b85,raishan,,,http://aims.fao.org/aos/agrovoc/c_06630b85,
c_06781094,collines de refuge de bétail,,,http://aims.fao.org/aos/agrovoc/c_06781094,
c_0686781d,usure abrasive,,,http://aims.fao.org/aos/agrovoc/c_0686781d,
c_06894f5a,Neoerysiphe,,,http://aims.fao.org/aos/agrovoc/c_06894f5a,
c_068f267a,photographie sous-marine,,,http://aims.fao.org/aos/agrovoc/c_068f267a,
c_069242cc,Urochloa ramosa,,,http://aims.fao.org/aos/agrovoc/c_069242cc,
c_0696f69c,huile de thon,,,http://aims.fao.org/aos/agrovoc/c_0696f69c,
c_069b2f28,produits en vrac,,,http://aims.fao.org/aos/agrovoc/c_069b2f28,
c_06a2c98f,Coccinella undecimpunctata,,,http://aims.fao.org/aos/agrovoc/c_06a2c98f,
c_06b46402,Nigella damascena,,,http://aims.fao.org/aos/agrovoc/c_06b46402,
c_06b489b0,isotope de l'oxygène,,,http://aims.fao.org/aos/agrovoc/c_06b489b0,
c_06c98243,Alternaria burnsii,,,http://aims.fao.org/aos/agrovoc/c_06c98243,
c_06d7dd5c,Ferulago trachycarpa,,,http://aims.fao.org/aos/agrovoc/c_06d7dd5c,
c_06d978c8,produits industriels,,,http://aims.fao.org/aos/agrovoc/c_06d978c8,
c_06df2240,transformation agricole,,,http://aims.fao.org/aos/agrovoc/c_06df2240,
c_06e56949,marge continentale,,,http://aims.fao.org/aos/agrovoc/c_06e56949,
c_06e80ac9,température d'admission,,,http://aims.fao.org/aos/agrovoc/c_06e80ac9,
c_06ebfdec,Polynesie,,,http://aims.fao.org/aos/agrovoc/c_06ebfdec,
c_0708e29f,miel en rayons,,,http://aims.fao.org/aos/agrovoc/c_0708e29f,
c_0717c6b7,train de vagues,,,http://aims.fao.org/aos/agrovoc/c_0717c6b7,
c_07250ae8,Lonicera xylosteum,,,http://aims.fao.org/aos/agrovoc/c_07250ae8,
c_0725371c,Objectif 15 Vie terrestre,,,http://aims.fao.org/aos/agrovoc/c_0725371c,
c_072568df,Buddleja davidii,,,http://aims.fao.org/aos/agrovoc/c_072568df,
c_0738cb4f,salinité de la surface,,,http://aims.fao.org/aos/agrovoc/c_0738cb4f,
c_07391c88,Tadorna,,,http://aims.fao.org/aos/agrovoc/c_07391c88,
c_07451543,visibilité sous l'eau,,,http://aims.fao.org/aos/agrovoc/c_07451543,
c_0747b784,Lamium multifidum,,,http://aims.fao.org/aos/agrovoc/c_0747b784,
c_074cc5dd,mammifère d'eau douce,,,http://aims.fao.org/aos/agrovoc/c_074cc5dd,
c_074d14f0,Physalis pubescens,,,http://aims.fao.org/aos/agrovoc/c_074d14f0,
c_074d268e,Lathyrus inconspicuus,,,http://aims.fao.org/aos/agrovoc/c_074d268e,
c_0756a840,ouvrage de référence,,,http://aims.fao.org/aos/agrovoc/c_0756a840,
c_0775cd4b,amidon résistant,,,http://aims.fao.org/aos/agrovoc/c_0775cd4b,
c_07767e57,Onopordum acanthium,,,http://aims.fao.org/aos/agrovoc/c_07767e57,
c_077ac042,équipement acoustique,,,http://aims.fao.org/aos/agrovoc/c_077ac042,
c_078e54cd,Erysiphe akebiae,,,http://aims.fao.org/aos/agrovoc/c_078e54cd,
c_07929aa3,température de surface,,,http://aims.fao.org/aos/agrovoc/c_07929aa3,
c_0798f8cb,herbicide imidazolinone,,,http://aims.fao.org/aos/agrovoc/c_0798f8cb,
c_079b1bb7,Anchusa thessala,,,http://aims.fao.org/aos/agrovoc/c_079b1bb7,
c_079d5163,butroxydim,,,http://aims.fao.org/aos/agrovoc/c_079d5163,
c_07a53b91,Hyperaspis campestris,,,http://aims.fao.org/aos/agrovoc/c_07a53b91,
c_07a98e20,génétique des poissons,,,http://aims.fao.org/aos/agrovoc/c_07a98e20,
c_07aa5d5e,Gazella,,,http://aims.fao.org/aos/agrovoc/c_07aa5d5e,
c_07ab8a90,Solanum americanum,,,http://aims.fao.org/aos/agrovoc/c_07ab8a90,
c_07bf1a3e,Allium curtum,,,http://aims.fao.org/aos/agrovoc/c_07bf1a3e,
c_07c4fe59,ventilation pulmonaire,,,http://aims.fao.org/aos/agrovoc/c_07c4fe59,
c_07c6c5ab,écosystèmes arides,,,http://aims.fao.org/aos/agrovoc/c_07c6c5ab,
c_07cd9c57,stratification thermique,,,http://aims.fao.org/aos/agrovoc/c_07cd9c57,
c_07d21ff0,bioénergétique,La bioénergétique est une branche de la biochimie qui analyse le flux d'énergie dans les systèmes vivants.,,http://aims.fao.org/aos/agrovoc/c_07d21ff0,
c_07da14ba,mesure de la profondeur,,,http://aims.fao.org/aos/agrovoc/c_07da14ba,
c_07e284fe,Lathyrus sphaericus,,,http://aims.fao.org/aos/agrovoc/c_07e284fe,
c_07eaf4ac,émulsion huile dans eau,,,http://aims.fao.org/aos/agrovoc/c_07eaf4ac,
c_07f0874c,Larinus planus,,,http://aims.fao.org/aos/agrovoc/c_07f0874c,
c_07fa6b94,Filippia,,,http://aims.fao.org/aos/agrovoc/c_07fa6b94,
c_07ff8972,zooxanthelle,,,http://aims.fao.org/aos/agrovoc/c_07ff8972,
c_080e6446,classement granulométrique,,,http://aims.fao.org/aos/agrovoc/c_080e6446,
c_081270de,dsRNA viruses,,,http://aims.fao.org/aos/agrovoc/c_081270de,
c_08323179,Bellavalia crassa,,,http://aims.fao.org/aos/agrovoc/c_08323179,
c_0833dbd7,Brachychiton populneus,,,http://aims.fao.org/aos/agrovoc/c_0833dbd7,
c_083bd76b,couche limite,,,http://aims.fao.org/aos/agrovoc/c_083bd76b,
c_084edeb6,échouement,"L'échouement est l'immobilisation accidentelle d'un navire sur un haut-fond, c’est-à-dire dans un endroit où le navire ne dispose plus assez de profondeur d'eau sous sa coque pour naviguer.",,http://aims.fao.org/aos/agrovoc/c_084edeb6,
c_085bb3b7,bioherme,,,http://aims.fao.org/aos/agrovoc/c_085bb3b7,
c_085e9ea7,Echinophora chrysantha,,,http://aims.fao.org/aos/agrovoc/c_085e9ea7,
