code,label_es,definition_es,note,concept,all_alternative_es
c_0278ed5b,Asphodelus aestivus,,,http://aims.fao.org/aos/agrovoc/c_0278ed5b,
c_02815699,Lycoperdon lividum,,,http://aims.fao.org/aos/agrovoc/c_02815699,
c_0298275d,Populus afghanica,,,http://aims.fao.org/aos/agrovoc/c_0298275d,
c_02a4b957,Polygonum patulum,,,http://aims.fao.org/aos/agrovoc/c_02a4b957,
c_02a62b95,Fritillaria crassifolia subsp. kurdica,,,http://aims.fao.org/aos/agrovoc/c_02a62b95,
c_02a775b2,ácido isoascórbico,,,http://aims.fao.org/aos/agrovoc/c_02a775b2,ácido eritórbico
c_02abc178,clodinafop,,,http://aims.fao.org/aos/agrovoc/c_02abc178,
c_02ad0525,Muscari turcicum,,,http://aims.fao.org/aos/agrovoc/c_02ad0525,
c_02b11638,Carbono orgánico disuelto,,,http://aims.fao.org/aos/agrovoc/c_02b11638,
c_02bf34c3,Ingeniería de costas,,,http://aims.fao.org/aos/agrovoc/c_02bf34c3,
c_02c2e9aa,Compuestos de manganeso,,,http://aims.fao.org/aos/agrovoc/c_02c2e9aa,
c_02cda71c,Conmoción económica,,,http://aims.fao.org/aos/agrovoc/c_02cda71c,
c_02d61475,Estanques de almacenamiento,,,http://aims.fao.org/aos/agrovoc/c_02d61475,
c_02e1a336,Anfibolita,,,http://aims.fao.org/aos/agrovoc/c_02e1a336,
c_02e6f477,herbicidas a base de tiocarbamato,,,http://aims.fao.org/aos/agrovoc/c_02e6f477,
c_02edd8de,Vectores fásmidos,,,http://aims.fao.org/aos/agrovoc/c_02edd8de,
c_03079252,Aleaciones ferrosas,,,http://aims.fao.org/aos/agrovoc/c_03079252,
c_031fbb5e,Sobrenadante,,,http://aims.fao.org/aos/agrovoc/c_031fbb5e,
c_03251a3d,Achillea biebersteinii,,,http://aims.fao.org/aos/agrovoc/c_03251a3d,
c_0335255f,Trissolcus semistriatus,,,http://aims.fao.org/aos/agrovoc/c_0335255f,
c_034813f6,Alicyclobacillaceae,,,http://aims.fao.org/aos/agrovoc/c_034813f6,
c_034c0989,Ánodos de sacrificio,"Se refiere a un metal que se disuelve lentamente en una reacción de corrosión y, al disolverse, protege a un segundo metal de la corrosión, como, por ejemplo, el estaño que se comporta como ánodo sacrificial para proteger la base de acero acoplada.",,http://aims.fao.org/aos/agrovoc/c_034c0989,
c_03618785,Ecología política,,,http://aims.fao.org/aos/agrovoc/c_03618785,
c_0367abe5,Echinophora,,,http://aims.fao.org/aos/agrovoc/c_0367abe5,
c_03710075,ecosistema béntico,,,http://aims.fao.org/aos/agrovoc/c_03710075,
c_03719a43,Efectos subletales,,,http://aims.fao.org/aos/agrovoc/c_03719a43,
c_0371de18,Sideritis caesarea,,,http://aims.fao.org/aos/agrovoc/c_0371de18,
c_037ed8a4,Mijo de los arrozales,,,http://aims.fao.org/aos/agrovoc/c_037ed8a4,Arrocillo silvestre|Paja arroz|Paja de pato|Mijo shama|Zacate de agua|Mijo de cuadra|Mijo bharti|Mijo japonés|Pasto colorado|Arroz del monte|Zacate pinto|Zacate rayado|Armilán|Gramilla de rastrojo|Pasto overito|Zacate de palmitos|Zacate de canal
c_0387fbf5,Viola kitaibeliana,,,http://aims.fao.org/aos/agrovoc/c_0387fbf5,
c_038bfcfa,Escollera,,,http://aims.fao.org/aos/agrovoc/c_038bfcfa,
c_03961d6f,harina de cebada,,,http://aims.fao.org/aos/agrovoc/c_03961d6f,
c_03a8e02d,Calligonum,,,http://aims.fao.org/aos/agrovoc/c_03a8e02d,
c_03ae1678,Igualdad de género,,,http://aims.fao.org/aos/agrovoc/c_03ae1678,
c_03b5aa2b,Ablattaria,,,http://aims.fao.org/aos/agrovoc/c_03b5aa2b,
c_03b7c737,Ludwigia grandiflora,,,http://aims.fao.org/aos/agrovoc/c_03b7c737,
c_03b7e519,Políticas internacionales,,,http://aims.fao.org/aos/agrovoc/c_03b7e519,
c_03d36284,Lisosomas,,,http://aims.fao.org/aos/agrovoc/c_03d36284,
c_03d7ad75,Salvia hydrangea,,,http://aims.fao.org/aos/agrovoc/c_03d7ad75,
c_03db719d,Alimentación del ganado,,,http://aims.fao.org/aos/agrovoc/c_03db719d,
c_03e47d4d,Espesor del hielo,,,http://aims.fao.org/aos/agrovoc/c_03e47d4d,
c_03eafe35,Arroz integral,,,http://aims.fao.org/aos/agrovoc/c_03eafe35,
c_0422bed9,Alternaria infectoria,,,http://aims.fao.org/aos/agrovoc/c_0422bed9,
c_043241bf,Hordeum cordobense,,,http://aims.fao.org/aos/agrovoc/c_043241bf,
c_04382853,Anisoplia,,,http://aims.fao.org/aos/agrovoc/c_04382853,
c_0441c8d5,Lagos de agua dulce,,,http://aims.fao.org/aos/agrovoc/c_0441c8d5,
c_0450404d,Allium sintenisii,,,http://aims.fao.org/aos/agrovoc/c_0450404d,
c_0455cb86,Tensiómetros,,,http://aims.fao.org/aos/agrovoc/c_0455cb86,
c_0467f906,Cicer heterophyllum,,,http://aims.fao.org/aos/agrovoc/c_0467f906,
c_04742f75,Obesidad,,,http://aims.fao.org/aos/agrovoc/c_04742f75,
c_04878d84,Radionavegacion,,,http://aims.fao.org/aos/agrovoc/c_04878d84,
c_04a08110,Dispositivo excluidor de tortugas,,,http://aims.fao.org/aos/agrovoc/c_04a08110,
c_04b9083b,Contaminación microbiológica cruzada,,,http://aims.fao.org/aos/agrovoc/c_04b9083b,
c_04c4635e,Tungrovirus,,,http://aims.fao.org/aos/agrovoc/c_04c4635e,
c_04c53419,Relaciones de género,"Subconjunto específico de relaciones sociales que unen a los hombres y las mujeres como grupos sociales en una comunidad en particular, incluido cómo se distribuyen el poder y el acceso y control de los recursos entre los sexos.",,http://aims.fao.org/aos/agrovoc/c_04c53419,Relación entre mujeres y hombres
c_04cd70f3,Erysiphe flexuosa,,,http://aims.fao.org/aos/agrovoc/c_04cd70f3,
c_04e08adc,Fríjoles secos,,,http://aims.fao.org/aos/agrovoc/c_04e08adc,
c_04e576bf,Días de campo,,,http://aims.fao.org/aos/agrovoc/c_04e576bf,
c_04f04701,Cadenas,,,http://aims.fao.org/aos/agrovoc/c_04f04701,
c_04f3705c,Semillas de perilla,,,http://aims.fao.org/aos/agrovoc/c_04f3705c,
c_04fbfdc4,Boyas de amarre,,,http://aims.fao.org/aos/agrovoc/c_04fbfdc4,
c_04ff864e,Anchusa azurea var. kurdica,,,http://aims.fao.org/aos/agrovoc/c_04ff864e,
c_050477cd,Lathyrus spathulatus,,,http://aims.fao.org/aos/agrovoc/c_050477cd,
c_050da850,Schistonchus,,,http://aims.fao.org/aos/agrovoc/c_050da850,
c_05110aa4,Piscicidas,Pesticida utilizado para el control selectivo de peces.,,http://aims.fao.org/aos/agrovoc/c_05110aa4,
c_0516b079,Cripavirus,,,http://aims.fao.org/aos/agrovoc/c_0516b079,
c_05171127,Alcea rosea,,,http://aims.fao.org/aos/agrovoc/c_05171127,
c_05188cd8,Lactarius deterrimus,,,http://aims.fao.org/aos/agrovoc/c_05188cd8,
c_051a24bc,Alimentación de búfalos,,,http://aims.fao.org/aos/agrovoc/c_051a24bc,
c_052454b6,Virión,,,http://aims.fao.org/aos/agrovoc/c_052454b6,
c_05245b05,Hibridación distante,,,http://aims.fao.org/aos/agrovoc/c_05245b05,
c_053648ca,fungicidas organomercuriales,,,http://aims.fao.org/aos/agrovoc/c_053648ca,
c_0543301f,Fragmentación de la tierra,"La división de la tierra en parcelas progresivamente más pequeñas debido a los sistemas de herencia, la necesidad de aprovechar la variación ecológica o el funcionamiento de los mercados de tierras. La fragmentación de la tierra puede producirse cuando una sola persona, familia u organización es propietaria de múltiples parcelas separadas geográficamente; o por medio di pequeñas parcelas poseídas individualmente por procesos de herencia u otros procesos de asignación que dividen la tierra de forma equitativa entre un grupo",,http://aims.fao.org/aos/agrovoc/c_0543301f,
c_0559f8c7,diseño de ropa,,,http://aims.fao.org/aos/agrovoc/c_0559f8c7,
c_05813567,Anomalías de gravedad,,,http://aims.fao.org/aos/agrovoc/c_05813567,
c_059a6d82,Allium aschersonianum,,,http://aims.fao.org/aos/agrovoc/c_059a6d82,
c_05aa079d,Xanthomonas axonopodis pv. malvacearum,,,http://aims.fao.org/aos/agrovoc/c_05aa079d,
c_05b037db,Velocidades sísmicas,,,http://aims.fao.org/aos/agrovoc/c_05b037db,
c_05bf39fc,Malva nicaeensis,,,http://aims.fao.org/aos/agrovoc/c_05bf39fc,
c_05c0398e,Rhaponticum,,,http://aims.fao.org/aos/agrovoc/c_05c0398e,
c_05c08c04,Lonicera periclymenum,,,http://aims.fao.org/aos/agrovoc/c_05c08c04,
c_05ccd828,Prosopis farcta,,,http://aims.fao.org/aos/agrovoc/c_05ccd828,
c_05cd5033,Bioerosión,,,http://aims.fao.org/aos/agrovoc/c_05cd5033,
c_05ceb781,Estudios bibliográficos,,,http://aims.fao.org/aos/agrovoc/c_05ceb781,
c_05d75704,Geranium sanguineum,,,http://aims.fao.org/aos/agrovoc/c_05d75704,
c_05d996fd,Lyonetia clerkella,,,http://aims.fao.org/aos/agrovoc/c_05d996fd,
c_05dad401,Salvia haussknechtii,,,http://aims.fao.org/aos/agrovoc/c_05dad401,
c_05dc6685,Catálogos,,,http://aims.fao.org/aos/agrovoc/c_05dc6685,
c_05dfe4e2,Viruela símica,La viruela del mono es una enfermedad zoonótica viral causada por la infección con el virus de la viruela del mono. Esta enfermedad ocurre principalmente en áreas de selva tropical de África central y occidental y ocasionalmente se exporta a otras regiones. El virus de la viruela del mono pertenece al género Orthopoxvirus de la familia Poxviridae.,,http://aims.fao.org/aos/agrovoc/c_05dfe4e2,Viruela del mono
c_05e91eaa,Altura dinámica,,,http://aims.fao.org/aos/agrovoc/c_05e91eaa,Geopotencial
c_05f11628,Lactobacillus kimchii,,,http://aims.fao.org/aos/agrovoc/c_05f11628,
c_0602f28e,Servicios climáticos,"Los servicios climáticos comprenden la producción, traducción, transferencia y uso de conocimientos e información sobre el clima con el fin de apoyar la toma de decisiones de individuos y organizaciones. ",,http://aims.fao.org/aos/agrovoc/c_0602f28e,
c_06049ef3,Sistemas de Certificación,,,http://aims.fao.org/aos/agrovoc/c_06049ef3,
c_0619dd9e,Gradas reticuladas de dientes flexibles,,,http://aims.fao.org/aos/agrovoc/c_0619dd9e,
c_061b5541,Larva velígera,,,http://aims.fao.org/aos/agrovoc/c_061b5541,
c_061ccfc0,Allium nigrum,,,http://aims.fao.org/aos/agrovoc/c_061ccfc0,
c_06277c77,Euryale,,,http://aims.fao.org/aos/agrovoc/c_06277c77,
c_0627ff0c,Cáustica (matemáticas),,,http://aims.fao.org/aos/agrovoc/c_0627ff0c,
c_062ceb63,Alnus glutinosa subsp. barbata,,,http://aims.fao.org/aos/agrovoc/c_062ceb63,
c_06316446,Datos sísmicos,,,http://aims.fao.org/aos/agrovoc/c_06316446,
c_063a6edd,Baylisascaris columnaris,,,http://aims.fao.org/aos/agrovoc/c_063a6edd,
c_063c779b,Cyperus fuscus,,,http://aims.fao.org/aos/agrovoc/c_063c779b,
c_063fb635,Haplotipos,,,http://aims.fao.org/aos/agrovoc/c_063fb635,
c_0640b006,Consistencia del suelo,,,http://aims.fao.org/aos/agrovoc/c_0640b006,
c_064c1d92,Crocus flavus subsp. dissectus,,,http://aims.fao.org/aos/agrovoc/c_064c1d92,
c_06503137,Salvia adenophylla,,,http://aims.fao.org/aos/agrovoc/c_06503137,
c_0651fdf0,Domos,,,http://aims.fao.org/aos/agrovoc/c_0651fdf0,
c_0653c563,Campos de eliminación de las aguas negras,,,http://aims.fao.org/aos/agrovoc/c_0653c563,
c_06588a87,Frentes de un glaciar,,,http://aims.fao.org/aos/agrovoc/c_06588a87,
c_066306e7,Colchicum decaisnei,,,http://aims.fao.org/aos/agrovoc/c_066306e7,
c_06630b85,Raishan,,,http://aims.fao.org/aos/agrovoc/c_06630b85,
c_06781094,Lomas de resguardo ganadero,,,http://aims.fao.org/aos/agrovoc/c_06781094,
c_0686781d,Desgaste abrasivo,,,http://aims.fao.org/aos/agrovoc/c_0686781d,
c_06894f5a,Neoerysiphe,,,http://aims.fao.org/aos/agrovoc/c_06894f5a,
c_068f267a,Fotografía submarina,,,http://aims.fao.org/aos/agrovoc/c_068f267a,
c_069242cc,Urochloa ramosa,,,http://aims.fao.org/aos/agrovoc/c_069242cc,
c_0696f69c,Aceite de atún,,,http://aims.fao.org/aos/agrovoc/c_0696f69c,
c_069b2f28,mercancía a granel,,,http://aims.fao.org/aos/agrovoc/c_069b2f28,
c_06a2c98f,Coccinella undecimpunctata,,,http://aims.fao.org/aos/agrovoc/c_06a2c98f,
c_06b46402,Nigella damascena,,,http://aims.fao.org/aos/agrovoc/c_06b46402,
c_06b489b0,Isótopos de oxígeno,,,http://aims.fao.org/aos/agrovoc/c_06b489b0,
c_06c98243,Alternaria burnsii,,,http://aims.fao.org/aos/agrovoc/c_06c98243,
c_06d7dd5c,Ferulago trachycarpa,,,http://aims.fao.org/aos/agrovoc/c_06d7dd5c,
c_06d978c8,Productos industriales,,,http://aims.fao.org/aos/agrovoc/c_06d978c8,
c_06df2240,Transformación agrícola,,,http://aims.fao.org/aos/agrovoc/c_06df2240,
c_06e56949,Márgenes continentales,,,http://aims.fao.org/aos/agrovoc/c_06e56949,
c_06e80ac9,Temperatura de admisión,,,http://aims.fao.org/aos/agrovoc/c_06e80ac9,
c_06ebfdec,Polinesia,,,http://aims.fao.org/aos/agrovoc/c_06ebfdec,
c_0708e29f,Miel en panal,,,http://aims.fao.org/aos/agrovoc/c_0708e29f,
c_07250ae8,Lonicera xylosteum,,,http://aims.fao.org/aos/agrovoc/c_07250ae8,
c_0725371c,Objetivo 15 Vida de ecosistemas terrestres,,,http://aims.fao.org/aos/agrovoc/c_0725371c,
c_072568df,Buddleja davidii,,,http://aims.fao.org/aos/agrovoc/c_072568df,
c_07391c88,Tadorna,,,http://aims.fao.org/aos/agrovoc/c_07391c88,
c_0747b784,Lamium multifidum,,,http://aims.fao.org/aos/agrovoc/c_0747b784,
c_074d14f0,Physalis pubescens,,,http://aims.fao.org/aos/agrovoc/c_074d14f0,
c_074d268e,Lathyrus inconspicuus,,,http://aims.fao.org/aos/agrovoc/c_074d268e,
c_0756a840,Obras de referencia,,,http://aims.fao.org/aos/agrovoc/c_0756a840,
c_0775cd4b,Almidón resistente,,,http://aims.fao.org/aos/agrovoc/c_0775cd4b,
c_07767e57,Onopordum acanthium,,,http://aims.fao.org/aos/agrovoc/c_07767e57,
c_077ac042,Equipo acústico,,,http://aims.fao.org/aos/agrovoc/c_077ac042,
c_078e54cd,Erysiphe akebiae,,,http://aims.fao.org/aos/agrovoc/c_078e54cd,
c_07929aa3,Temperatura de brillo,,,http://aims.fao.org/aos/agrovoc/c_07929aa3,
c_0798f8cb,herbicidas con imidazolinona,,,http://aims.fao.org/aos/agrovoc/c_0798f8cb,
c_079b1bb7,Anchusa thessala,,,http://aims.fao.org/aos/agrovoc/c_079b1bb7,
c_07a53b91,Hyperaspis campestris,,,http://aims.fao.org/aos/agrovoc/c_07a53b91,
c_07a98e20,Genética de peces,,,http://aims.fao.org/aos/agrovoc/c_07a98e20,
c_07aa5d5e,Gazella,,,http://aims.fao.org/aos/agrovoc/c_07aa5d5e,
c_07ab8a90,Solanum americanum,,,http://aims.fao.org/aos/agrovoc/c_07ab8a90,
c_07bf1a3e,Allium curtum,,,http://aims.fao.org/aos/agrovoc/c_07bf1a3e,
c_07c6c5ab,Ecosistemas de tierras secas,,,http://aims.fao.org/aos/agrovoc/c_07c6c5ab,
c_07cd9c57,Estratificación termal,,,http://aims.fao.org/aos/agrovoc/c_07cd9c57,
c_07d21ff0,Bioenergética,"La bioenergética es la parte de la biología muy relacionada con la química física, que se encarga del estudio de los procesos de absorción, transformación y entrega de energía en los sistemas biológicos.",,http://aims.fao.org/aos/agrovoc/c_07d21ff0,
c_07da14ba,Medición de profundidad,,,http://aims.fao.org/aos/agrovoc/c_07da14ba,
c_07e284fe,Lathyrus sphaericus,,,http://aims.fao.org/aos/agrovoc/c_07e284fe,
c_07f0874c,Larinus planus,,,http://aims.fao.org/aos/agrovoc/c_07f0874c,
c_07fa6b94,Filippia,,,http://aims.fao.org/aos/agrovoc/c_07fa6b94,
c_07ff8972,Zooxantelas,,,http://aims.fao.org/aos/agrovoc/c_07ff8972,
c_081270de,dsRNA viruses,,,http://aims.fao.org/aos/agrovoc/c_081270de,
c_08323179,Bellavalia crassa,,,http://aims.fao.org/aos/agrovoc/c_08323179,
c_0833dbd7,Brachychiton populneus,,,http://aims.fao.org/aos/agrovoc/c_0833dbd7,
c_083bd76b,Capas límite,,,http://aims.fao.org/aos/agrovoc/c_083bd76b,
c_085bb3b7,Biohermos,,,http://aims.fao.org/aos/agrovoc/c_085bb3b7,
c_085e9ea7,Echinophora chrysantha,,,http://aims.fao.org/aos/agrovoc/c_085e9ea7,
c_0861ccd4,Transparencia del agua,,,http://aims.fao.org/aos/agrovoc/c_0861ccd4,
c_086c9d19,Alternaria dianthi,,,http://aims.fao.org/aos/agrovoc/c_086c9d19,
c_086d5c59,Calvatia cyathiformis,,,http://aims.fao.org/aos/agrovoc/c_086d5c59,Bejín lilacino
c_0872ff35,Sanguisorba verrucosa,,,http://aims.fao.org/aos/agrovoc/c_0872ff35,
c_08842b17,Crecimiento de planta,,,http://aims.fao.org/aos/agrovoc/c_08842b17,
c_089fae8a,Actaea racemosa,,,http://aims.fao.org/aos/agrovoc/c_089fae8a,
c_08a0e564,Edad de reclutamiento,,,http://aims.fao.org/aos/agrovoc/c_08a0e564,
c_08a0edfb,Bastón,,,http://aims.fao.org/aos/agrovoc/c_08a0edfb,
c_08a1ba70,Evergestis extimalis,,,http://aims.fao.org/aos/agrovoc/c_08a1ba70,
c_08be90dd,Límites de las placas,,,http://aims.fao.org/aos/agrovoc/c_08be90dd,
c_08c04063,Cratónes,,,http://aims.fao.org/aos/agrovoc/c_08c04063,
c_08c2e5cc,Guardia costera,,,http://aims.fao.org/aos/agrovoc/c_08c2e5cc,
c_08c42d9c,Bifora radians,,,http://aims.fao.org/aos/agrovoc/c_08c42d9c,
c_08cdf676,Bellevalia kurdistanica,,,http://aims.fao.org/aos/agrovoc/c_08cdf676,
c_08d19be4,Especímenes tipo,,,http://aims.fao.org/aos/agrovoc/c_08d19be4,Colecciones de tipos
c_08dded27,Sensores ópticos,,,http://aims.fao.org/aos/agrovoc/c_08dded27,
c_08f4594a,Veronica hederifolia,,,http://aims.fao.org/aos/agrovoc/c_08f4594a,
c_08fed30e,Cimbex quadrimaculatus,,,http://aims.fao.org/aos/agrovoc/c_08fed30e,
c_0905b3d2,Paeonia daurica,,,http://aims.fao.org/aos/agrovoc/c_0905b3d2,
c_09108406,Calor sensible,,,http://aims.fao.org/aos/agrovoc/c_09108406,
c_091e6e53,Lamium vreemanii,,,http://aims.fao.org/aos/agrovoc/c_091e6e53,
c_0922191c,Mijo de Guinea,,,http://aims.fao.org/aos/agrovoc/c_0922191c,Pasto Guinea
c_09330257,Centaurea benedicta,,,http://aims.fao.org/aos/agrovoc/c_09330257,
c_093d240f,Ingeniería de alta mar,,,http://aims.fao.org/aos/agrovoc/c_093d240f,
c_094802b4,Theileria ovis,,,http://aims.fao.org/aos/agrovoc/c_094802b4,
c_0949cb64,Fullereno,,,http://aims.fao.org/aos/agrovoc/c_0949cb64,
c_094dd3e6,Paleoambientes,,,http://aims.fao.org/aos/agrovoc/c_094dd3e6,
c_095d612d,Coherencia de las políticas,,,http://aims.fao.org/aos/agrovoc/c_095d612d,
c_095f5a9b,Fusarium oxysporum f. sp. lycopersici,,,http://aims.fao.org/aos/agrovoc/c_095f5a9b,
