"code","label_ru","note","concept","all_alternative_ru","all_hidden_ru","definition_en"
"c_0298275d","Populus afghanica","","http://aims.fao.org/aos/agrovoc/c_0298275d","","",""
"c_02a4b957","Polygonum patulum","","http://aims.fao.org/aos/agrovoc/c_02a4b957","","",""
"c_02a62b95","Fritillaria crassifolia subsp. kurdica","","http://aims.fao.org/aos/agrovoc/c_02a62b95","","",""
"c_02a775b2","изоаскорбиновая кислота","","http://aims.fao.org/aos/agrovoc/c_02a775b2","эриторбовая кислота","",""
"c_02a9ddf9","временные водотоки","","http://aims.fao.org/aos/agrovoc/c_02a9ddf9","перемежающиеся водотоки|водотоки, питающиеся дождевым стоком","",""
"c_02abc178","клодинафоп","","http://aims.fao.org/aos/agrovoc/c_02abc178","","",""
"c_02ad0525","Muscari turcicum","","http://aims.fao.org/aos/agrovoc/c_02ad0525","","",""
"c_02b11638","растворенный органический углерод","","http://aims.fao.org/aos/agrovoc/c_02b11638","","",""
"c_02bf34c3","прибрежные гидротехнические сооружения","","http://aims.fao.org/aos/agrovoc/c_02bf34c3","","",""
"c_02c2e9aa","соединения марганца","","http://aims.fao.org/aos/agrovoc/c_02c2e9aa","","",""
"c_02cda71c","экономический шок","","http://aims.fao.org/aos/agrovoc/c_02cda71c","","",""
"c_02d61475","маточные пруды","","http://aims.fao.org/aos/agrovoc/c_02d61475","садки","",""
"c_02e0df9b","катастрофические волны","","http://aims.fao.org/aos/agrovoc/c_02e0df9b","разрушительные волны","",""
"c_02e1a336","амфиболита","","http://aims.fao.org/aos/agrovoc/c_02e1a336","","",""
"c_02e6f477","тиокарбаматы (гербициды)","","http://aims.fao.org/aos/agrovoc/c_02e6f477","","",""
"c_02edd8de","плазмидный вектор","","http://aims.fao.org/aos/agrovoc/c_02edd8de","","",""
"c_02fa4f86","швартовные тросы","","http://aims.fao.org/aos/agrovoc/c_02fa4f86","","",""
"c_03079252","черный сплав","","http://aims.fao.org/aos/agrovoc/c_03079252","ферросплав|сплав на основе железа","",""
"c_031ee34f","тли","","http://aims.fao.org/aos/agrovoc/c_031ee34f","","",""
"c_031fbb5e","надосадочная жидкость","","http://aims.fao.org/aos/agrovoc/c_031fbb5e","","",""
"c_03251a3d","Achillea biebersteinii","","http://aims.fao.org/aos/agrovoc/c_03251a3d","","",""
"c_03281b5e","подводные факторы риска","","http://aims.fao.org/aos/agrovoc/c_03281b5e","","",""
"c_0335255f","Trissolcus semistriatus","","http://aims.fao.org/aos/agrovoc/c_0335255f","","",""
"c_03464127","полностью щелевые полы","","http://aims.fao.org/aos/agrovoc/c_03464127","","",""
"c_034813f6","Alicyclobacillaceae","","http://aims.fao.org/aos/agrovoc/c_034813f6","","",""
"c_034c0989","анодное заземление","","http://aims.fao.org/aos/agrovoc/c_034c0989","анодный контроль|анодная защита","",""
"c_03618785","политическая экология","","http://aims.fao.org/aos/agrovoc/c_03618785","","",""
"c_0367abe5","Echinophora","","http://aims.fao.org/aos/agrovoc/c_0367abe5","","",""
"c_03710075","экосистема бентоса","","http://aims.fao.org/aos/agrovoc/c_03710075","","",""
"c_03719a43","сублетальные эффекты","","http://aims.fao.org/aos/agrovoc/c_03719a43","","",""
"c_0371de18","Sideritis caesarea","","http://aims.fao.org/aos/agrovoc/c_0371de18","","",""
"c_037ed8a4","ежовник крестьянский","","http://aims.fao.org/aos/agrovoc/c_037ed8a4","пайза|ежовник, петушье просо|просо крестьянское|просо японское","",""
"c_0387fbf5","Viola kitaibeliana","","http://aims.fao.org/aos/agrovoc/c_0387fbf5","","",""
"c_038bfcfa","защитная насыпь","","http://aims.fao.org/aos/agrovoc/c_038bfcfa","","",""
"c_03961d6f","ячменная мука","","http://aims.fao.org/aos/agrovoc/c_03961d6f","","",""
"c_03a3e09d","акустические измерители течения","","http://aims.fao.org/aos/agrovoc/c_03a3e09d","акустические измерители скорости течения","",""
"c_03a8e02d","Calligonum","","http://aims.fao.org/aos/agrovoc/c_03a8e02d","","",""
"c_03ae1678","гендерное равенство","","http://aims.fao.org/aos/agrovoc/c_03ae1678","равенство между мужчинами и женщинами","",""
"c_03b5aa2b","Ablattaria","","http://aims.fao.org/aos/agrovoc/c_03b5aa2b","","",""
"c_03b7c737","Ludwigia grandiflora","","http://aims.fao.org/aos/agrovoc/c_03b7c737","","",""
"c_03b7e519","международная политика","","http://aims.fao.org/aos/agrovoc/c_03b7e519","внешняя политика","",""
"c_03bcc74e","биспирибак-натрий","","http://aims.fao.org/aos/agrovoc/c_03bcc74e","","",""
"c_03d36284","лизосома","","http://aims.fao.org/aos/agrovoc/c_03d36284","","",""
"c_03d4c183","реликтовые береговые линии","","http://aims.fao.org/aos/agrovoc/c_03d4c183","древние береговые линии","",""
"c_03d7ad75","Salvia hydrangea","","http://aims.fao.org/aos/agrovoc/c_03d7ad75","","",""
"c_03db719d","кормление сельскохозяйственных животных","","http://aims.fao.org/aos/agrovoc/c_03db719d","","",""
"c_03e47d4d","толщина льда","","http://aims.fao.org/aos/agrovoc/c_03e47d4d","","",""
"c_03e78242","изъятие земли (из пользования)","","http://aims.fao.org/aos/agrovoc/c_03e78242","землеотвод","",""
"c_03eafe35","нешлифованный рис","","http://aims.fao.org/aos/agrovoc/c_03eafe35","бурый рис|шелушеный рис|коричневый рис|обрушенный рис","",""
"c_03f94571","сублиторальная среда","","http://aims.fao.org/aos/agrovoc/c_03f94571","","",""
"c_03fd0555","датирование по изотопам кислорода","","http://aims.fao.org/aos/agrovoc/c_03fd0555","определение возраста по изотопам кислорода","",""
"c_0422bed9","Alternaria infectoria","","http://aims.fao.org/aos/agrovoc/c_0422bed9","","",""
"c_043241bf","Hordeum cordobense","","http://aims.fao.org/aos/agrovoc/c_043241bf","","",""
"c_04382853","Anisoplia","","http://aims.fao.org/aos/agrovoc/c_04382853","","",""
"c_0441c8d5","пресноводные озера","","http://aims.fao.org/aos/agrovoc/c_0441c8d5","","",""
"c_0450404d","Allium sintenisii","","http://aims.fao.org/aos/agrovoc/c_0450404d","","",""
"c_0452a6de","дрейфующие станции","","http://aims.fao.org/aos/agrovoc/c_0452a6de","","",""
"c_0455cb86","тензометр","","http://aims.fao.org/aos/agrovoc/c_0455cb86","тензометрический датчик|проволочный датчик сопротивления","",""
"c_0467f906","Cicer heterophyllum","","http://aims.fao.org/aos/agrovoc/c_0467f906","","",""
"c_04731d35","хранение в живом виде","","http://aims.fao.org/aos/agrovoc/c_04731d35","","",""
"c_04742f75","тучность","","http://aims.fao.org/aos/agrovoc/c_04742f75","","",""
"c_047725a6","инерционные течения","","http://aims.fao.org/aos/agrovoc/c_047725a6","","",""
"c_04878d84","Радионавигация","","http://aims.fao.org/aos/agrovoc/c_04878d84","","",""
"c_04a08110","устройство предотвращения попадания черепах в трал","","http://aims.fao.org/aos/agrovoc/c_04a08110","","",""
"c_04b802eb","годовые классы","","http://aims.fao.org/aos/agrovoc/c_04b802eb","","",""
"c_04b9083b","микробиологическое перекрестное заражение","","http://aims.fao.org/aos/agrovoc/c_04b9083b","","",""
"c_04c4635e","Tungrovirus","","http://aims.fao.org/aos/agrovoc/c_04c4635e","","",""
"c_04c53419","гендерные отношения","","http://aims.fao.org/aos/agrovoc/c_04c53419","","",""
"c_04cd70f3","Erysiphe flexuosa","","http://aims.fao.org/aos/agrovoc/c_04cd70f3","","",""
"c_04d78bff","параметр Россби","","http://aims.fao.org/aos/agrovoc/c_04d78bff","","",""
"c_04e08adc","сухая фасоль","","http://aims.fao.org/aos/agrovoc/c_04e08adc","","",""
"c_04e576bf","день поля","","http://aims.fao.org/aos/agrovoc/c_04e576bf","образовательный день на ферме","",""
"c_04ed021e","пиримидинилсульфонилмочевинные гербициды","","http://aims.fao.org/aos/agrovoc/c_04ed021e","","",""
"c_04f04701","цепи","","http://aims.fao.org/aos/agrovoc/c_04f04701","","",""
"c_04f3705c","семена периллы","","http://aims.fao.org/aos/agrovoc/c_04f3705c","","",""
"c_04fbfdc4","заякоренные бочки","","http://aims.fao.org/aos/agrovoc/c_04fbfdc4","якорные буи","",""
"c_04ff864e","Anchusa azurea var. kurdica","","http://aims.fao.org/aos/agrovoc/c_04ff864e","","",""
"c_050477cd","Lathyrus spathulatus","","http://aims.fao.org/aos/agrovoc/c_050477cd","","",""
"c_050da850","Schistonchus","","http://aims.fao.org/aos/agrovoc/c_050da850","","",""
"c_05110aa4","ихтиоцид","","http://aims.fao.org/aos/agrovoc/c_05110aa4","","",""
"c_0516b079","Cripavirus","","http://aims.fao.org/aos/agrovoc/c_0516b079","","",""
"c_05171127","Alcea rosea","","http://aims.fao.org/aos/agrovoc/c_05171127","Althaea rosea","",""
"c_05188cd8","Lactarius deterrimus","","http://aims.fao.org/aos/agrovoc/c_05188cd8","","",""
"c_051a24bc","кормление буйволов","","http://aims.fao.org/aos/agrovoc/c_051a24bc","","",""
"c_052454b6","вирион","","http://aims.fao.org/aos/agrovoc/c_052454b6","","",""
"c_05245b05","отдаленная гибридизация","","http://aims.fao.org/aos/agrovoc/c_05245b05","","",""
"c_053648ca","ртутьорганические фунгициды","","http://aims.fao.org/aos/agrovoc/c_053648ca","","",""
"c_0543301f","земельная раздробленность","","http://aims.fao.org/aos/agrovoc/c_0543301f","","",""
"c_0559f8c7","дизайн одежды","","http://aims.fao.org/aos/agrovoc/c_0559f8c7","","",""
"c_055f07d9","число Россби","","http://aims.fao.org/aos/agrovoc/c_055f07d9","","",""
"c_05813567","гравитационные аномалии","","http://aims.fao.org/aos/agrovoc/c_05813567","","",""
"c_0598aab4","геология шельфа","","http://aims.fao.org/aos/agrovoc/c_0598aab4","","",""
"c_059a6d82","Allium aschersonianum","","http://aims.fao.org/aos/agrovoc/c_059a6d82","","",""
"c_05aa079d","Xanthomonas axonopodis pv. malvacearum","","http://aims.fao.org/aos/agrovoc/c_05aa079d","","",""
"c_05b037db","скорость распространения сейсмической волны","","http://aims.fao.org/aos/agrovoc/c_05b037db","скорость сейсмической волны","",""
"c_05b3a107","разведение каракатиц","","http://aims.fao.org/aos/agrovoc/c_05b3a107","","",""
"c_05ba5b54","ведомость сбыта","","http://aims.fao.org/aos/agrovoc/c_05ba5b54","","",""
"c_05bf39fc","Malva nicaeensis","","http://aims.fao.org/aos/agrovoc/c_05bf39fc","","",""
"c_05c0398e","Rhaponticum","","http://aims.fao.org/aos/agrovoc/c_05c0398e","","",""
"c_05c08c04","Lonicera periclymenum","","http://aims.fao.org/aos/agrovoc/c_05c08c04","","",""
"c_05ccd828","Prosopis farcta","","http://aims.fao.org/aos/agrovoc/c_05ccd828","","",""
"c_05cd5033","биоэрозия","","http://aims.fao.org/aos/agrovoc/c_05cd5033","эрозия (биологическая)","",""
"c_05ceb781","обзоры литературы","","http://aims.fao.org/aos/agrovoc/c_05ceb781","обзорные статьи","",""
"c_05d75704","Geranium sanguineum","","http://aims.fao.org/aos/agrovoc/c_05d75704","герань кроваво-красная","",""
"c_05d996fd","Lyonetia clerkella","","http://aims.fao.org/aos/agrovoc/c_05d996fd","","",""
"c_05dad401","Salvia haussknechtii","","http://aims.fao.org/aos/agrovoc/c_05dad401","","",""
"c_05dc6685","каталоги","","http://aims.fao.org/aos/agrovoc/c_05dc6685","","",""
"c_05dfe4e2","оспа обезьян","","http://aims.fao.org/aos/agrovoc/c_05dfe4e2","","",""
"c_05e91eaa","геопотенциальная высота","","http://aims.fao.org/aos/agrovoc/c_05e91eaa","динамическая глубина|динамическая высота","",""
"c_05ee163a","инструмент свободного падения","","http://aims.fao.org/aos/agrovoc/c_05ee163a","","",""
"c_05f11628","Lactobacillus kimchii","","http://aims.fao.org/aos/agrovoc/c_05f11628","","",""
"c_05f1777f","усвояемый азот (растения)","","http://aims.fao.org/aos/agrovoc/c_05f1777f","азот, усвояемый растениями","",""
"c_0602f28e","климатическое обслуживание","","http://aims.fao.org/aos/agrovoc/c_0602f28e","","",""
"c_06049ef3","сертификационная система","","http://aims.fao.org/aos/agrovoc/c_06049ef3","","",""
"c_060d4d8f","полярная метеорология","","http://aims.fao.org/aos/agrovoc/c_060d4d8f","","",""
"c_0619dd9e","цепные бороны","","http://aims.fao.org/aos/agrovoc/c_0619dd9e","","",""
"c_061b5541","велигер","","http://aims.fao.org/aos/agrovoc/c_061b5541","","",""
"c_061ccfc0","Allium nigrum","","http://aims.fao.org/aos/agrovoc/c_061ccfc0","","",""
"c_06277c77","Euryale","","http://aims.fao.org/aos/agrovoc/c_06277c77","","",""
"c_0627ff0c","каустика (математика)","","http://aims.fao.org/aos/agrovoc/c_0627ff0c","","",""
"c_062ceb63","Alnus glutinosa subsp. barbata","","http://aims.fao.org/aos/agrovoc/c_062ceb63","","",""
"c_06316446","сейсмические данные","","http://aims.fao.org/aos/agrovoc/c_06316446","","",""
"c_063a6edd","Baylisascaris columnaris","","http://aims.fao.org/aos/agrovoc/c_063a6edd","","",""
"c_063c779b","Cyperus fuscus","","http://aims.fao.org/aos/agrovoc/c_063c779b","","",""
"c_063fb635","гаплотип","","http://aims.fao.org/aos/agrovoc/c_063fb635","","",""
"c_0640b006","консистенция почвы","","http://aims.fao.org/aos/agrovoc/c_0640b006","","",""
"c_064c1d92","Crocus flavus subsp. dissectus","","http://aims.fao.org/aos/agrovoc/c_064c1d92","","",""
"c_06503137","Salvia adenophylla","","http://aims.fao.org/aos/agrovoc/c_06503137","","",""
"c_0651fdf0","купол (геология)","","http://aims.fao.org/aos/agrovoc/c_0651fdf0","","",""
"c_0653c563","поля фильтрации","","http://aims.fao.org/aos/agrovoc/c_0653c563","поля орошения сточными водами","",""
"c_06588a87","фронт льда","","http://aims.fao.org/aos/agrovoc/c_06588a87","","",""
"c_065f7b6b","бромоксинил октаноат","","http://aims.fao.org/aos/agrovoc/c_065f7b6b","","",""
"c_066306e7","Colchicum decaisnei","","http://aims.fao.org/aos/agrovoc/c_066306e7","","",""
"c_06630b85","росичка компактная","","http://aims.fao.org/aos/agrovoc/c_06630b85","","",""
"c_06781094","курган для защиты скота от наводнений","","http://aims.fao.org/aos/agrovoc/c_06781094","","",""
"c_0686781d","абразивный износ","","http://aims.fao.org/aos/agrovoc/c_0686781d","","",""
"c_06894f5a","Neoerysiphe","","http://aims.fao.org/aos/agrovoc/c_06894f5a","","",""
"c_068f267a","подводная фотография","","http://aims.fao.org/aos/agrovoc/c_068f267a","","",""
"c_069242cc","Urochloa ramosa","","http://aims.fao.org/aos/agrovoc/c_069242cc","Brachiaria ramosa|Урохлоя ветвистая","",""
"c_0696f69c","тунцовый жир","","http://aims.fao.org/aos/agrovoc/c_0696f69c","","",""
"c_069b2f28","bulk commodities","","http://aims.fao.org/aos/agrovoc/c_069b2f28","","",""
"c_06a2c98f","Coccinella undecimpunctata","","http://aims.fao.org/aos/agrovoc/c_06a2c98f","","",""
"c_06b46402","Nigella damascena","","http://aims.fao.org/aos/agrovoc/c_06b46402","","",""
"c_06b489b0","изотопы кислорода","","http://aims.fao.org/aos/agrovoc/c_06b489b0","","",""
"c_06b4fb93","твердые вещества биологического происхождения","","http://aims.fao.org/aos/agrovoc/c_06b4fb93","","",""
"c_06c98243","Alternaria burnsii","","http://aims.fao.org/aos/agrovoc/c_06c98243","","",""
"c_06ca5a52","морфометрия","","http://aims.fao.org/aos/agrovoc/c_06ca5a52","","",""
"c_06d7dd5c","Ferulago trachycarpa","","http://aims.fao.org/aos/agrovoc/c_06d7dd5c","","",""
"c_06d978c8","промышленная продукция","","http://aims.fao.org/aos/agrovoc/c_06d978c8","промышленные товары","",""
"c_06df2240","преобразование сельского хозяйства","","http://aims.fao.org/aos/agrovoc/c_06df2240","","",""
"c_06e56949","Подводные окраины материков","","http://aims.fao.org/aos/agrovoc/c_06e56949","","",""
"c_06e80ac9","температура всасывания","","http://aims.fao.org/aos/agrovoc/c_06e80ac9","температура впуска|температура на входе|начальная температура","",""
"c_06ebfdec","Полинезия","","http://aims.fao.org/aos/agrovoc/c_06ebfdec","","",""
"c_0708e29f","мед сотовый","","http://aims.fao.org/aos/agrovoc/c_0708e29f","","",""
"c_0717c6b7","серия волн","","http://aims.fao.org/aos/agrovoc/c_0717c6b7","цуг волн|группа волн|ряд волн","",""
"c_07250ae8","Lonicera xylosteum","","http://aims.fao.org/aos/agrovoc/c_07250ae8","","",""
"c_0725371c","Цель 15 Сохранение экосистем суши","","http://aims.fao.org/aos/agrovoc/c_0725371c","","",""
"c_072568df","Buddleja davidii","","http://aims.fao.org/aos/agrovoc/c_072568df","","",""
"c_0738cb4f","соленость поверхностных вод","","http://aims.fao.org/aos/agrovoc/c_0738cb4f","соленость поверхностного слоя вод|поверхностная соленость вод","",""
"c_07391c88","Tadorna","","http://aims.fao.org/aos/agrovoc/c_07391c88","","",""
"c_07451543","видимость под водой","","http://aims.fao.org/aos/agrovoc/c_07451543","дальность видимости под поверхностью воды|подводная видимость","",""
"c_0747b784","Lamium multifidum","","http://aims.fao.org/aos/agrovoc/c_0747b784","","",""
"c_074cc5dd","пресноводные млекопитающиеся","","http://aims.fao.org/aos/agrovoc/c_074cc5dd","","",""
"c_074d14f0","Physalis pubescens","","http://aims.fao.org/aos/agrovoc/c_074d14f0","","",""
"c_074d268e","Lathyrus inconspicuus","","http://aims.fao.org/aos/agrovoc/c_074d268e","","",""
"c_0756a840","cправочные материалы","","http://aims.fao.org/aos/agrovoc/c_0756a840","","",""
"c_0775cd4b","стойкий крахмал","","http://aims.fao.org/aos/agrovoc/c_0775cd4b","","",""
"c_07767e57","Onopordum acanthium","","http://aims.fao.org/aos/agrovoc/c_07767e57","","",""
"c_077ac042","акустическое оборудование","","http://aims.fao.org/aos/agrovoc/c_077ac042","","",""
"c_078e54cd","Erysiphe akebiae","","http://aims.fao.org/aos/agrovoc/c_078e54cd","","",""
"c_07929aa3","температура поверхности","","http://aims.fao.org/aos/agrovoc/c_07929aa3","температура поверхностного слоя","",""
"c_0798f8cb","производные имидазолинона (гербициды)","","http://aims.fao.org/aos/agrovoc/c_0798f8cb","","",""
"c_079b1bb7","Anchusa thessala","","http://aims.fao.org/aos/agrovoc/c_079b1bb7","","",""
"c_079d5163","бутроксидим","","http://aims.fao.org/aos/agrovoc/c_079d5163","","",""
"c_07a53b91","Hyperaspis campestris","","http://aims.fao.org/aos/agrovoc/c_07a53b91","","",""
